MapCode,SpeciesName,CohortAge,CohortBiomass
0,PITA,10,100
60470,PITA,30,868.12
60470,PITA,40,7298.39
60470,LIST2,60,726.11
49088,PITA,30,1907.84
49088,ACRU,20,84.7
49088,ACRU,40,271.7
49088,ACRU,50,374.99
49088,CAGL8,60,47.74
49088,CAAL27,10,22.44
49088,LIST2,10,24.09
49088,LIST2,20,108.57
49088,LIST2,30,287.65
49088,LIST2,40,312.4
49088,LIST2,50,317.24
49088,LITU,10,31.24
49088,LITU,40,142.34
49088,PRSE2,10,112.31
49088,PRSE2,20,310.915
49088,PRSE2,30,1404.7
49088,QUAL,50,233.31
49088,QUAL,60,466.4
49088,QUAL,70,670.12
49088,QUFA,40,931.15
49088,QURU,20,82.72
49088,QURU,30,362.12
49088,QURU,40,733.26
49088,QURU,50,636.9
49591,PITA,10,95.26
49591,PITA,20,777.48
49591,PITA,30,5343.69
49591,ACRU,10,54.89
49591,ACRU,20,143.99
49591,LIST2,10,50.93
49591,LIST2,20,66.11
50039,JUVI,30,187.715
50039,PITA,30,1267.695
50039,PITA,40,28092.24
50039,PITA,50,4057.9
50039,ACRU,50,482.9
50039,ACRU,60,744.205
50039,LIST2,10,22.55
50039,LIST2,40,238.59
50039,LIST2,50,504.68
50039,LIST2,60,2039.95
50039,QUFA,10,18.48
50039,QUFA,20,78.87
49603,PITA,10,402.6
49603,PITA,20,4355.89
49603,PITA,30,1404.04
49603,LIST2,10,41.91
49603,LITU,10,24.2
49603,QUCO2,40,97.35
49603,QUNI,10,28.05
49603,QUNI,20,88.44
49768,PIEC2,60,470.25
49768,ACRU,10,32.45
49768,ACRU,20,143.99
49768,ACRU,30,1031.91
49768,ACRU,40,105.38
49768,ACRU,50,919.93
49768,ACRU,70,2051.39
49768,CAAL27,40,69.63
49768,LITU,40,458.59
49768,OXAR,20,443.19
49768,OXAR,30,916.08
49768,QUAL,50,136.73
49768,QUAL,70,549.12
49768,QUAL,80,1417.35
49768,QUCO2,50,250.25
49768,QUCO2,70,5782.37
49768,QUFA,60,688.82
49768,QUFA,70,2618.99
49768,QUST,60,356.62
49768,QUST,70,533.17
49768,QUVE,70,1204.5
48523,JUVI,50,419.76
48523,PITA,30,1267.695
48523,ACRU,30,353.87
48523,ACRU,40,114.73
48523,ACRU,50,686.51
48523,ACRU,60,523.49
48523,OXAR,20,144.98
48523,OXAR,30,857.78
48523,QUAL,60,205.59
48523,QUAL,70,2522.96
48523,QUAL,80,3117.18
48523,QUAL,90,13346.63
48523,QUCO2,70,151.36
48523,QUST,70,491.15
48523,QUVE,60,691.13
49916,JUVI,20,108.57
49916,JUVI,30,468.38
49916,JUVI,40,606.65
49916,PIVI2,40,550.66
49916,ACRU,10,57.97
49916,ACRU,50,260.81
49916,ACRU,60,1355.2
49916,LITU,20,190.52
49916,LITU,30,267.41
49916,LITU,50,2066.9
49916,QUAL,50,108.35
49916,QUAL,70,886.6
49916,QUAL,80,1207.91
49916,QUCO2,60,736.12
49916,QURU,70,1465.86
49033,PIEC2,60,431.2
49033,PIVI2,10,179.52
49033,PIVI2,20,172.48
49033,PIVI2,40,430.32
49033,PIVI2,50,587.125
49033,PIVI2,60,7613.76
49033,ACRU,20,143.99
49033,LIST2,10,153.45
49033,LIST2,20,108.57
49033,LIST2,30,338.58
49033,LIST2,40,383.57
49033,LIST2,50,705.98
49033,LIST2,60,664.84
49033,LITU,10,48.4
49033,QUCO2,10,14.3
48921,ACRU,20,344.08
48921,ACRU,30,196.68
48921,ACRU,40,147.07
48921,ACRU,50,481.91
48921,ACRU,60,1308.45
48921,ACRU,70,2717.11
48921,NYBI,30,750.86
48921,NYBI,40,848.1
48921,QUNI,50,285.56
48921,QUNI,60,1381.16
48842,ACRU,10,54.89
48842,ACRU,40,107.25
48842,ACRU,60,744.205
48842,ACRU,70,1225.51
48842,CAGL8,60,153.23
48842,CAAL27,40,281.6
48842,FRAM2,40,159.94
48842,FRAM2,50,822.36
48842,LIST2,50,2313.52
48842,QUAL,10,33.99
48842,QUAL,20,97.02
48842,QUAL,40,502.7
48842,QUAL,50,353.65
48842,QUAL,60,1680.69
48842,QUAL,70,1493.47
48842,QUAL,80,2781.9
48842,QUFA,20,99.11
48842,QUST,70,675.18
49602,PITA,10,105.82
49602,PITA,30,2107.27
49602,ACRU,10,148.5
49602,ACRU,20,607.09
49602,CAGL8,10,86.35
49602,LITU,10,18.15
49602,LITU,20,87.23
50051,JUVI,20,42.46
50051,JUVI,40,81.73
50051,PITA,30,2360.93
50051,PITA,40,998.69
50051,ACRU,10,131.12
50051,ACRU,20,323.07
50051,ACRU,30,386.65
50051,CAGL8,10,43.23
50051,FAGR,10,10.78
50051,LIST2,10,32.34
50051,LIST2,20,423.94
50051,LIST2,30,624.47
50051,LIST2,40,732.6
50051,LIST2,50,176.55
50051,LIST2,60,1965.59
50051,LITU,10,48.4
50051,LITU,20,113.63
50051,LITU,30,694.21
50051,LITU,40,1130.69
50051,LITU,50,1767.59
50051,LITU,60,1103.96
50051,OXAR,20,152.57
50051,PRSE2,20,310.915
50051,QUCO2,60,1010.35
50051,QUPH,50,193.71
50051,QURU,20,122.65
50051,QUVE,10,29.92
50057,PITA,30,1267.695
50057,PITA,40,6608.25
50057,ACRU,20,143.99
50057,ACRU,50,687.17
50057,ACRU,60,1866.04
50057,ACRU,70,4520.89
50057,CAGL8,60,243.54
50057,FAGR,50,87.23
50057,LIST2,40,400.95
50057,LIST2,50,670.89
50057,LIST2,60,2535.39
50057,OXAR,30,125.73
50057,QUAL,10,28.05
50057,QUAL,60,331.21
50057,QUPH,20,88.44
50057,QUPH,50,466.4
50057,QURU,50,144.32
49144,JUVI,50,302.72
49144,PIEC2,50,190.41
49144,PIEC2,60,2999.7
49144,PIVI2,40,184.745
49144,PIVI2,50,587.125
49144,PIVI2,60,3111.79
49144,ACRU,20,118.91
49144,ACRU,70,2417.36
49144,CAAL27,20,140.47
49144,CAAL27,40,293.04
49144,CAAL27,50,1103.08
49144,LIST2,10,14.08
49144,LIST2,60,1319.34
49144,LITU,10,55.66
49144,LITU,20,99.55
49144,LITU,40,428.34
49144,LITU,50,2540.34
49144,LITU,60,5304.09
49144,OXAR,50,481.03
49144,OXAR,60,1010.9
49144,QUCO2,70,1777.875
49144,QURU,20,131.01
49144,QUVE,40,731.06
49095,FRPE,50,579.81
49095,FRPE,60,1338.81
49095,LIST2,50,502.04
49095,LIST2,60,1714.9
49095,LIST2,70,8260.45
49093,PITA,20,375.43
49093,PITA,30,1267.695
49093,PITA,40,2296.03
49093,LIST2,10,99.11
49093,LIST2,20,237.6
49093,LIST2,30,338.58
49093,LIST2,40,453.53
49093,LITU,10,48.4
49093,LITU,20,113.63
49093,PRSE2,10,62.04
49093,QUAL,10,15.51
49093,QUAL,50,104.94
49093,QUFA,20,110.22
49093,QUPH,40,105.38
49082,PITA,30,1267.695
49082,PITA,40,20154.64
49082,LIST2,10,106.81
49340,PITA,30,3913.47
49340,PITA,40,3867.82
49340,ACRU,10,42.79
49340,ACRU,60,744.205
49340,FRPE,10,40.59
49340,FRPE,20,132.88
49340,FRPE,30,2079.33
49340,FRPE,40,790.46
49340,LITU,10,143.77
49340,LITU,20,70.51
49340,LITU,30,72.27
49340,LITU,40,298.76
49639,JUVI,50,157.19
49639,JUVI,60,493.9
49639,PITA,10,33.44
49639,PITA,20,375.43
49639,PITA,30,1267.695
49639,PITA,40,2357.41
49639,PIVI2,30,431.53
49639,ACRU,10,54.89
49639,ACRU,20,143.99
49639,ACRU,40,102.52
49639,ACRU,50,331.76
49639,CAGL8,60,113.41
49639,CAGL8,70,415.47
49639,CAAL27,50,376.86
49639,LITU,20,113.63
49639,OXAR,20,24.42
49639,PRSE2,30,156.31
49639,QUAL,30,133.43
49639,QUAL,50,134.97
49639,QUAL,70,403.26
49639,QURU,10,21.67
49639,QURU,20,317.13
49751,ACRU,10,34.65
49751,ACRU,20,143.99
49751,ACRU,50,108.24
49751,ACRU,60,447.26
49751,CAGL8,70,106.04
49751,CAAL27,20,179.85
49751,LIST2,10,14.63
49751,LIST2,40,163.13
49751,LITU,20,344.52
49751,LITU,30,1666.61
49751,LITU,40,86.24
49751,OXAR,20,313.17
49751,OXAR,30,101.2
49751,QUAL,50,95.59
49751,QUAL,70,469.04
49751,QUCO2,60,1733.38
49751,QUFA,70,880.55
49751,QUPR2,20,65.89
49751,QUPR2,50,108.46
49751,QUPR2,60,904.42
49751,QUPR2,70,998.69
49751,QUPR2,80,3126.42
49751,QUST,60,214.83
49751,QUST,70,365.09
49751,QUVE,10,31.79
49751,QUVE,60,691.13
49070,PITA,30,1267.695
49070,PITA,40,4941.97
49070,CAAL27,10,64.02
49070,CAAL27,20,250.25
49070,LIST2,10,17.27
49070,LIST2,30,542.63
49070,LIST2,40,264.44
49070,OXAR,20,376.86
49070,PRSE2,30,1054.79
49070,QUAL,20,195.36
49070,QUAL,30,206.91
49070,QUAL,60,944.68
49070,QUNI,10,36.85
49070,QUNI,20,130.35
49070,QUNI,40,107.8
49070,QUNI,50,185.57
49070,QURU,50,648.45
49070,QUVE,30,191.07
48837,PITA,30,1267.695
48837,PITA,40,2857.91
48837,ACRU,50,219.67
48837,FRAM2,20,138.6
48837,FRAM2,40,166.705
48837,LIST2,10,84.15
48837,LIST2,20,108.57
48837,LIST2,30,338.58
48837,LIST2,40,1280.07
48837,LIST2,50,1329.35
48837,LITU,20,113.63
48837,LITU,40,567.93
48837,LITU,50,559.35
48837,OXAR,30,104.39
48838,JUVI,20,70.95
48838,JUVI,40,221.1
48838,JUVI,50,138.49
48838,LITU,50,373.23
48838,QUNI,60,481.69
48838,QUNI,90,12556.72
49383,PITA,30,378.29
49383,PITA,40,5557.53
49383,CAAL27,20,77.55
49383,LIST2,10,70.62
49383,LIST2,20,57.75
49383,LIST2,50,263.34
49383,LITU,10,31.24
49383,LITU,20,312.18
49383,LITU,30,3109.81
49383,LITU,40,1141.8
49383,LITU,50,1151.59
49383,OXAR,30,181.005
49383,QUAL,10,31.46
49383,QUAL,70,1220.12
49383,QUFA,60,661.65
49383,QUFA,70,1184.26
49383,QUNI,10,50.27
49383,QUNI,20,98.89
49383,QURU,60,357.94
49383,QURU,70,1280.18
49383,QUST,60,238.7
49763,JUVI,50,157.74
49763,PITA,20,164.45
49763,PITA,30,901.34
49763,PITA,40,394.35
49763,ACRU,50,315.04
49763,ACRU,60,966.57
49763,ACRU,70,1738.385
49763,CAGL8,10,62.48
49763,CAGL8,20,67.76
49763,CAGL8,80,746.79
49763,CAGL8,90,2434.63
49763,FRAM2,50,321.75
49763,LIST2,40,56.21
49763,PRSE2,30,74.25
49763,QUAL,50,96.25
49763,QUAL,70,1257.08
49763,QUAL,90,3405.27
49763,QUST,60,394.68
49582,PITA,30,762.3
49582,ACRU,10,26.73
49582,ACRU,20,274.67
49582,ACRU,40,109.56
49582,ACRU,50,690.14
49582,LIST2,10,32.34
49582,LIST2,20,108.57
49582,LIST2,30,338.58
49582,LIST2,40,899.14
49582,LIST2,50,152.68
49582,LITU,10,34.76
49582,LITU,40,760.21
49582,PRSE2,20,315.48
49582,QUPH,10,32.01
48825,JUVI,10,37.29
48825,JUVI,30,165.77
48825,JUVI,50,261.47
48825,JUVI,60,220.77
48825,PIVI2,40,598.29
48825,PIVI2,50,552.86
