Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,846782395.222222
10,run2,846850435
10,run3,846847289.166667
10,run4,846729904.277778
10,run5,847040622.444444
20,run1,964108870.055556
20,run2,964115541.444444
20,run3,964114153.888889
20,run4,964058425.388889
20,run5,964000466.833333
30,run1,1045768020.4
30,run2,1044760329.05
30,run3,1044477511.61667
30,run4,1045753104.03889
30,run5,1045258050.83333
40,run1,1017112490.24444
40,run2,1016679522.47778
40,run3,1016840537.45556
40,run4,1018654552.95556
40,run5,1015718267.97778
50,run1,1036810087.82778
50,run2,1036838698.18333
50,run3,1037445311.23889
50,run4,1038720213.18889
50,run5,1035991293.53333
60,run1,1096518636.05556
60,run2,1095573110.98333
60,run3,1097279053.25
60,run4,1098818324.64444
60,run5,1096666217.57222
70,run1,1135864035.18889
70,run2,1136393469.05556
70,run3,1138405934.80556
70,run4,1138172248.95
70,run5,1136332243.26111
80,run1,1178723681.64444
80,run2,1178901565.90556
80,run3,1187592760.76111
80,run4,1184853755.10556
80,run5,1180123625.48333
