Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,BNU-ESM_RCP45,RCP45,Transition
0,run2,800490033.2,BNU-ESM_RCP45,RCP45,Transition
0,run3,800490033.2,BNU-ESM_RCP45,RCP45,Transition
0,run4,800490033.2,BNU-ESM_RCP45,RCP45,Transition
0,run5,800490033.2,BNU-ESM_RCP45,RCP45,Transition
10,run1,692633661.9,BNU-ESM_RCP45,RCP45,Transition
10,run2,691684621.2,BNU-ESM_RCP45,RCP45,Transition
10,run3,691599206.9,BNU-ESM_RCP45,RCP45,Transition
10,run4,691384664.1,BNU-ESM_RCP45,RCP45,Transition
10,run5,692038190.8,BNU-ESM_RCP45,RCP45,Transition
20,run1,657091561.7,BNU-ESM_RCP45,RCP45,Transition
20,run2,657904551.3,BNU-ESM_RCP45,RCP45,Transition
20,run3,657451081.6,BNU-ESM_RCP45,RCP45,Transition
20,run4,658104664.4,BNU-ESM_RCP45,RCP45,Transition
20,run5,658414591.7,BNU-ESM_RCP45,RCP45,Transition
30,run1,695986412.3,BNU-ESM_RCP45,RCP45,Transition
30,run2,695209967.1,BNU-ESM_RCP45,RCP45,Transition
30,run3,696354161.9,BNU-ESM_RCP45,RCP45,Transition
30,run4,696257386.7,BNU-ESM_RCP45,RCP45,Transition
30,run5,696609398.8,BNU-ESM_RCP45,RCP45,Transition
40,run1,694754227,BNU-ESM_RCP45,RCP45,Transition
40,run2,688654385.3,BNU-ESM_RCP45,RCP45,Transition
40,run3,689670318.6,BNU-ESM_RCP45,RCP45,Transition
40,run4,689250918,BNU-ESM_RCP45,RCP45,Transition
40,run5,691016248.1,BNU-ESM_RCP45,RCP45,Transition
50,run1,751880872.2,BNU-ESM_RCP45,RCP45,Transition
50,run2,746077026.8,BNU-ESM_RCP45,RCP45,Transition
50,run3,747016550.1,BNU-ESM_RCP45,RCP45,Transition
50,run4,745615532.9,BNU-ESM_RCP45,RCP45,Transition
50,run5,747718266.1,BNU-ESM_RCP45,RCP45,Transition
60,run1,839874558,BNU-ESM_RCP45,RCP45,Transition
60,run2,836441520.2,BNU-ESM_RCP45,RCP45,Transition
60,run3,836267745.8,BNU-ESM_RCP45,RCP45,Transition
60,run4,835659775.3,BNU-ESM_RCP45,RCP45,Transition
60,run5,837729402.6,BNU-ESM_RCP45,RCP45,Transition
70,run1,1071805153,BNU-ESM_RCP45,RCP45,Transition
70,run2,1069074631,BNU-ESM_RCP45,RCP45,Transition
70,run3,1068688597,BNU-ESM_RCP45,RCP45,Transition
70,run4,1068233623,BNU-ESM_RCP45,RCP45,Transition
70,run5,1070476926,BNU-ESM_RCP45,RCP45,Transition
80,run1,1250923122,BNU-ESM_RCP45,RCP45,Transition
80,run2,1248896695,BNU-ESM_RCP45,RCP45,Transition
80,run3,1248213260,BNU-ESM_RCP45,RCP45,Transition
80,run4,1248030319,BNU-ESM_RCP45,RCP45,Transition
80,run5,1250123162,BNU-ESM_RCP45,RCP45,Transition
