Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,BNU-ESM_RCP85,RCP85,Resilience
0,run2,800490033.2,BNU-ESM_RCP85,RCP85,Resilience
0,run3,800490033.2,BNU-ESM_RCP85,RCP85,Resilience
0,run4,800490033.2,BNU-ESM_RCP85,RCP85,Resilience
0,run5,800490033.2,BNU-ESM_RCP85,RCP85,Resilience
10,run1,829302905.1,BNU-ESM_RCP85,RCP85,Resilience
10,run2,828968022.6,BNU-ESM_RCP85,RCP85,Resilience
10,run3,829199844.7,BNU-ESM_RCP85,RCP85,Resilience
10,run4,829102306.1,BNU-ESM_RCP85,RCP85,Resilience
10,run5,829362976.4,BNU-ESM_RCP85,RCP85,Resilience
20,run1,946794389.6,BNU-ESM_RCP85,RCP85,Resilience
20,run2,945357405.1,BNU-ESM_RCP85,RCP85,Resilience
20,run3,947450943.9,BNU-ESM_RCP85,RCP85,Resilience
20,run4,947095063.8,BNU-ESM_RCP85,RCP85,Resilience
20,run5,947669728.4,BNU-ESM_RCP85,RCP85,Resilience
30,run1,1053055419,BNU-ESM_RCP85,RCP85,Resilience
30,run2,1050708671,BNU-ESM_RCP85,RCP85,Resilience
30,run3,1053986056,BNU-ESM_RCP85,RCP85,Resilience
30,run4,1055118144,BNU-ESM_RCP85,RCP85,Resilience
30,run5,1052772504,BNU-ESM_RCP85,RCP85,Resilience
40,run1,912176633.9,BNU-ESM_RCP85,RCP85,Resilience
40,run2,908902356,BNU-ESM_RCP85,RCP85,Resilience
40,run3,913817380,BNU-ESM_RCP85,RCP85,Resilience
40,run4,915543378.1,BNU-ESM_RCP85,RCP85,Resilience
40,run5,912178401.1,BNU-ESM_RCP85,RCP85,Resilience
50,run1,946276725.8,BNU-ESM_RCP85,RCP85,Resilience
50,run2,943683519,BNU-ESM_RCP85,RCP85,Resilience
50,run3,947917413.8,BNU-ESM_RCP85,RCP85,Resilience
50,run4,949847560.5,BNU-ESM_RCP85,RCP85,Resilience
50,run5,945919363.1,BNU-ESM_RCP85,RCP85,Resilience
60,run1,1096375268,BNU-ESM_RCP85,RCP85,Resilience
60,run2,1089932331,BNU-ESM_RCP85,RCP85,Resilience
60,run3,1095696109,BNU-ESM_RCP85,RCP85,Resilience
60,run4,1100594050,BNU-ESM_RCP85,RCP85,Resilience
60,run5,1097649240,BNU-ESM_RCP85,RCP85,Resilience
70,run1,1219384301,BNU-ESM_RCP85,RCP85,Resilience
70,run2,1212225052,BNU-ESM_RCP85,RCP85,Resilience
70,run3,1221447694,BNU-ESM_RCP85,RCP85,Resilience
70,run4,1222556577,BNU-ESM_RCP85,RCP85,Resilience
70,run5,1220366495,BNU-ESM_RCP85,RCP85,Resilience
80,run1,1194338632,BNU-ESM_RCP85,RCP85,Resilience
80,run2,1185013829,BNU-ESM_RCP85,RCP85,Resilience
80,run3,1196670499,BNU-ESM_RCP85,RCP85,Resilience
80,run4,1199412554,BNU-ESM_RCP85,RCP85,Resilience
80,run5,1194516649,BNU-ESM_RCP85,RCP85,Resilience
