Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,BNU-ESM_RCP85,RCP85,Resistance
0,run2,800490033.2,BNU-ESM_RCP85,RCP85,Resistance
0,run3,800490033.2,BNU-ESM_RCP85,RCP85,Resistance
0,run4,800490033.2,BNU-ESM_RCP85,RCP85,Resistance
0,run5,800490033.2,BNU-ESM_RCP85,RCP85,Resistance
10,run1,881168551.8,BNU-ESM_RCP85,RCP85,Resistance
10,run2,880927698.5,BNU-ESM_RCP85,RCP85,Resistance
10,run3,880876438.4,BNU-ESM_RCP85,RCP85,Resistance
10,run4,880874754.1,BNU-ESM_RCP85,RCP85,Resistance
10,run5,881161193,BNU-ESM_RCP85,RCP85,Resistance
20,run1,971528406.5,BNU-ESM_RCP85,RCP85,Resistance
20,run2,971465287.2,BNU-ESM_RCP85,RCP85,Resistance
20,run3,971366342.9,BNU-ESM_RCP85,RCP85,Resistance
20,run4,971255339.3,BNU-ESM_RCP85,RCP85,Resistance
20,run5,971518260.2,BNU-ESM_RCP85,RCP85,Resistance
30,run1,1015834627,BNU-ESM_RCP85,RCP85,Resistance
30,run2,1014907389,BNU-ESM_RCP85,RCP85,Resistance
30,run3,1014856019,BNU-ESM_RCP85,RCP85,Resistance
30,run4,1014836081,BNU-ESM_RCP85,RCP85,Resistance
30,run5,1015390357,BNU-ESM_RCP85,RCP85,Resistance
40,run1,1002039049,BNU-ESM_RCP85,RCP85,Resistance
40,run2,1003488534,BNU-ESM_RCP85,RCP85,Resistance
40,run3,1002926558,BNU-ESM_RCP85,RCP85,Resistance
40,run4,1002186811,BNU-ESM_RCP85,RCP85,Resistance
40,run5,999883684.2,BNU-ESM_RCP85,RCP85,Resistance
50,run1,1031754134,BNU-ESM_RCP85,RCP85,Resistance
50,run2,1032874981,BNU-ESM_RCP85,RCP85,Resistance
50,run3,1032721420,BNU-ESM_RCP85,RCP85,Resistance
50,run4,1032498938,BNU-ESM_RCP85,RCP85,Resistance
50,run5,1029759797,BNU-ESM_RCP85,RCP85,Resistance
60,run1,1040901014,BNU-ESM_RCP85,RCP85,Resistance
60,run2,1039067824,BNU-ESM_RCP85,RCP85,Resistance
60,run3,1040938000,BNU-ESM_RCP85,RCP85,Resistance
60,run4,1039938727,BNU-ESM_RCP85,RCP85,Resistance
60,run5,1035729887,BNU-ESM_RCP85,RCP85,Resistance
70,run1,1114355229,BNU-ESM_RCP85,RCP85,Resistance
70,run2,1112589946,BNU-ESM_RCP85,RCP85,Resistance
70,run3,1114653901,BNU-ESM_RCP85,RCP85,Resistance
70,run4,1114891982,BNU-ESM_RCP85,RCP85,Resistance
70,run5,1114220696,BNU-ESM_RCP85,RCP85,Resistance
80,run1,1109474089,BNU-ESM_RCP85,RCP85,Resistance
80,run2,1107518354,BNU-ESM_RCP85,RCP85,Resistance
80,run3,1108394946,BNU-ESM_RCP85,RCP85,Resistance
80,run4,1106970844,BNU-ESM_RCP85,RCP85,Resistance
80,run5,1107309067,BNU-ESM_RCP85,RCP85,Resistance
