Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,614720973.722222
10,run2,614802881.555556
10,run3,614651466.611111
10,run4,614180904.611111
10,run5,613961782.611111
20,run1,542228163.944444
20,run2,542536076.166667
20,run3,542584009.833333
20,run4,543869062.833333
20,run5,543201644.222222
30,run1,680508593.2
30,run2,681709206.111111
30,run3,681734004.527778
30,run4,680049067.75
30,run5,679965811.433333
40,run1,620246867.2
40,run2,618561214.694444
40,run3,619030712.372222
40,run4,617816538.216667
40,run5,616841046.283333
50,run1,630837281.616667
50,run2,630650172.211111
50,run3,630479698.944444
50,run4,629692276.422222
50,run5,629369608.85
60,run1,766641827.722222
60,run2,766345388.172222
60,run3,765664476.988889
60,run4,765544261.605556
60,run5,766317194.266667
70,run1,967799235.677778
70,run2,966081109.977778
70,run3,965284303.355556
70,run4,964853204.888889
70,run5,965338035.65
80,run1,1256531178.25
80,run2,1254698586.47222
80,run3,1253128383.40556
80,run4,1252447121.16667
80,run5,1253439175.02222
