Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,827893808.166667
10,run2,828345264.444445
10,run3,828056751.222222
10,run4,828168497.944444
10,run5,828315836.222222
20,run1,935436867.055556
20,run2,935785888.444445
20,run3,937372182
20,run4,935916692.166667
20,run5,937636564.388889
30,run1,991675620.694445
30,run2,992598153.794444
30,run3,994992409.427778
30,run4,993065220.522222
30,run5,993930023.833333
40,run1,954412822.755556
40,run2,956902160.788889
40,run3,956665268.388889
40,run4,955615121.688889
40,run5,959000041.211111
50,run1,1030206110.10556
50,run2,1032985349.45
50,run3,1035892614.36111
50,run4,1031587079.23889
50,run5,1032141373.61111
60,run1,1132549439.18333
60,run2,1135749690.38333
60,run3,1138210369.32222
60,run4,1135212823.93889
60,run5,1134202723.57778
70,run1,1217232528.3
70,run2,1221241369.00556
70,run3,1225725754.58889
70,run4,1222120725.61667
70,run5,1218595199.12222
80,run1,1202143540.39444
80,run2,1207160741.06667
80,run3,1208879588.32778
80,run4,1207861563.86667
80,run5,1206537349.38889
