Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,CCSM4_RCP45,RCP45,Resistance
0,run2,800490033.2,CCSM4_RCP45,RCP45,Resistance
0,run3,800490033.2,CCSM4_RCP45,RCP45,Resistance
0,run4,800490033.2,CCSM4_RCP45,RCP45,Resistance
0,run5,800490033.2,CCSM4_RCP45,RCP45,Resistance
10,run1,832168516.9,CCSM4_RCP45,RCP45,Resistance
10,run2,832081308.4,CCSM4_RCP45,RCP45,Resistance
10,run3,832276856.6,CCSM4_RCP45,RCP45,Resistance
10,run4,832354247.4,CCSM4_RCP45,RCP45,Resistance
10,run5,832197777.9,CCSM4_RCP45,RCP45,Resistance
20,run1,943745103.9,CCSM4_RCP45,RCP45,Resistance
20,run2,943611037.7,CCSM4_RCP45,RCP45,Resistance
20,run3,943649785.2,CCSM4_RCP45,RCP45,Resistance
20,run4,943794078.1,CCSM4_RCP45,RCP45,Resistance
20,run5,943718878.8,CCSM4_RCP45,RCP45,Resistance
30,run1,936001319.6,CCSM4_RCP45,RCP45,Resistance
30,run2,935401708.3,CCSM4_RCP45,RCP45,Resistance
30,run3,936854863.6,CCSM4_RCP45,RCP45,Resistance
30,run4,936981890.2,CCSM4_RCP45,RCP45,Resistance
30,run5,935730503.9,CCSM4_RCP45,RCP45,Resistance
40,run1,937825265.9,CCSM4_RCP45,RCP45,Resistance
40,run2,936287098.4,CCSM4_RCP45,RCP45,Resistance
40,run3,935608615.1,CCSM4_RCP45,RCP45,Resistance
40,run4,935459152.9,CCSM4_RCP45,RCP45,Resistance
40,run5,937134849.1,CCSM4_RCP45,RCP45,Resistance
50,run1,1041890569,CCSM4_RCP45,RCP45,Resistance
50,run2,1040468925,CCSM4_RCP45,RCP45,Resistance
50,run3,1039379924,CCSM4_RCP45,RCP45,Resistance
50,run4,1039503678,CCSM4_RCP45,RCP45,Resistance
50,run5,1041267962,CCSM4_RCP45,RCP45,Resistance
60,run1,1065970253,CCSM4_RCP45,RCP45,Resistance
60,run2,1065979857,CCSM4_RCP45,RCP45,Resistance
60,run3,1064831052,CCSM4_RCP45,RCP45,Resistance
60,run4,1066888151,CCSM4_RCP45,RCP45,Resistance
60,run5,1067971280,CCSM4_RCP45,RCP45,Resistance
70,run1,1056554668,CCSM4_RCP45,RCP45,Resistance
70,run2,1052949639,CCSM4_RCP45,RCP45,Resistance
70,run3,1051647997,CCSM4_RCP45,RCP45,Resistance
70,run4,1053464884,CCSM4_RCP45,RCP45,Resistance
70,run5,1054452933,CCSM4_RCP45,RCP45,Resistance
80,run1,1091291769,CCSM4_RCP45,RCP45,Resistance
80,run2,1089464446,CCSM4_RCP45,RCP45,Resistance
80,run3,1091362169,CCSM4_RCP45,RCP45,Resistance
80,run4,1090979631,CCSM4_RCP45,RCP45,Resistance
80,run5,1092244765,CCSM4_RCP45,RCP45,Resistance
