Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,CCSM4_RCP45,RCP45,Transition
0,run2,800490033.2,CCSM4_RCP45,RCP45,Transition
0,run3,800490033.2,CCSM4_RCP45,RCP45,Transition
0,run4,800490033.2,CCSM4_RCP45,RCP45,Transition
0,run5,800490033.2,CCSM4_RCP45,RCP45,Transition
10,run1,649029295.7,CCSM4_RCP45,RCP45,Transition
10,run2,648520099.6,CCSM4_RCP45,RCP45,Transition
10,run3,648965733.2,CCSM4_RCP45,RCP45,Transition
10,run4,648615096.6,CCSM4_RCP45,RCP45,Transition
10,run5,648813760.2,CCSM4_RCP45,RCP45,Transition
20,run1,640595333.8,CCSM4_RCP45,RCP45,Transition
20,run2,638089677.6,CCSM4_RCP45,RCP45,Transition
20,run3,639586567.4,CCSM4_RCP45,RCP45,Transition
20,run4,640765475.1,CCSM4_RCP45,RCP45,Transition
20,run5,640661631.2,CCSM4_RCP45,RCP45,Transition
30,run1,633121873.9,CCSM4_RCP45,RCP45,Transition
30,run2,630075567.6,CCSM4_RCP45,RCP45,Transition
30,run3,630980838.6,CCSM4_RCP45,RCP45,Transition
30,run4,632368919.5,CCSM4_RCP45,RCP45,Transition
30,run5,630909422.5,CCSM4_RCP45,RCP45,Transition
40,run1,636366205.5,CCSM4_RCP45,RCP45,Transition
40,run2,634321061.8,CCSM4_RCP45,RCP45,Transition
40,run3,635995314,CCSM4_RCP45,RCP45,Transition
40,run4,639325152.8,CCSM4_RCP45,RCP45,Transition
40,run5,634036149,CCSM4_RCP45,RCP45,Transition
50,run1,762426257.2,CCSM4_RCP45,RCP45,Transition
50,run2,761134639.1,CCSM4_RCP45,RCP45,Transition
50,run3,762552094.3,CCSM4_RCP45,RCP45,Transition
50,run4,763843115.3,CCSM4_RCP45,RCP45,Transition
50,run5,761341078.6,CCSM4_RCP45,RCP45,Transition
60,run1,867817701.2,CCSM4_RCP45,RCP45,Transition
60,run2,863618106.5,CCSM4_RCP45,RCP45,Transition
60,run3,868348026.4,CCSM4_RCP45,RCP45,Transition
60,run4,870276300.5,CCSM4_RCP45,RCP45,Transition
60,run5,867321633.9,CCSM4_RCP45,RCP45,Transition
70,run1,993015233.6,CCSM4_RCP45,RCP45,Transition
70,run2,991591316.8,CCSM4_RCP45,RCP45,Transition
70,run3,994242177.5,CCSM4_RCP45,RCP45,Transition
70,run4,996007150.3,CCSM4_RCP45,RCP45,Transition
70,run5,991712088.1,CCSM4_RCP45,RCP45,Transition
80,run1,1215947541,CCSM4_RCP45,RCP45,Transition
80,run2,1213955594,CCSM4_RCP45,RCP45,Transition
80,run3,1217095236,CCSM4_RCP45,RCP45,Transition
80,run4,1219724796,CCSM4_RCP45,RCP45,Transition
80,run5,1214299555,CCSM4_RCP45,RCP45,Transition
