Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,CCSM4_RCP85,RCP85,Resilience
0,run2,800490033.2,CCSM4_RCP85,RCP85,Resilience
0,run3,800490033.2,CCSM4_RCP85,RCP85,Resilience
0,run4,800490033.2,CCSM4_RCP85,RCP85,Resilience
0,run5,800490033.2,CCSM4_RCP85,RCP85,Resilience
10,run1,793780941.6,CCSM4_RCP85,RCP85,Resilience
10,run2,793730394.6,CCSM4_RCP85,RCP85,Resilience
10,run3,793560374.2,CCSM4_RCP85,RCP85,Resilience
10,run4,793843011.6,CCSM4_RCP85,RCP85,Resilience
10,run5,793780325,CCSM4_RCP85,RCP85,Resilience
20,run1,849336228.4,CCSM4_RCP85,RCP85,Resilience
20,run2,849324683.4,CCSM4_RCP85,RCP85,Resilience
20,run3,847325514.3,CCSM4_RCP85,RCP85,Resilience
20,run4,849071103.7,CCSM4_RCP85,RCP85,Resilience
20,run5,849462313.7,CCSM4_RCP85,RCP85,Resilience
30,run1,997163761.9,CCSM4_RCP85,RCP85,Resilience
30,run2,997655665,CCSM4_RCP85,RCP85,Resilience
30,run3,993602226.3,CCSM4_RCP85,RCP85,Resilience
30,run4,997730886.1,CCSM4_RCP85,RCP85,Resilience
30,run5,997796753.5,CCSM4_RCP85,RCP85,Resilience
40,run1,919664548.4,CCSM4_RCP85,RCP85,Resilience
40,run2,920825046.1,CCSM4_RCP85,RCP85,Resilience
40,run3,916417713.5,CCSM4_RCP85,RCP85,Resilience
40,run4,920346952.1,CCSM4_RCP85,RCP85,Resilience
40,run5,920244043.7,CCSM4_RCP85,RCP85,Resilience
50,run1,956566062.5,CCSM4_RCP85,RCP85,Resilience
50,run2,958792200.7,CCSM4_RCP85,RCP85,Resilience
50,run3,953035051.5,CCSM4_RCP85,RCP85,Resilience
50,run4,955372985.4,CCSM4_RCP85,RCP85,Resilience
50,run5,959643245.4,CCSM4_RCP85,RCP85,Resilience
60,run1,1094280241,CCSM4_RCP85,RCP85,Resilience
60,run2,1091252278,CCSM4_RCP85,RCP85,Resilience
60,run3,1088152469,CCSM4_RCP85,RCP85,Resilience
60,run4,1089861622,CCSM4_RCP85,RCP85,Resilience
60,run5,1096187540,CCSM4_RCP85,RCP85,Resilience
70,run1,1177532787,CCSM4_RCP85,RCP85,Resilience
70,run2,1170346674,CCSM4_RCP85,RCP85,Resilience
70,run3,1168163807,CCSM4_RCP85,RCP85,Resilience
70,run4,1171101470,CCSM4_RCP85,RCP85,Resilience
70,run5,1178985281,CCSM4_RCP85,RCP85,Resilience
80,run1,1194628289,CCSM4_RCP85,RCP85,Resilience
80,run2,1188232269,CCSM4_RCP85,RCP85,Resilience
80,run3,1185716486,CCSM4_RCP85,RCP85,Resilience
80,run4,1188292759,CCSM4_RCP85,RCP85,Resilience
80,run5,1196180144,CCSM4_RCP85,RCP85,Resilience
