Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,797728292.666667
10,run2,797681893.5
10,run3,797552104.055556
10,run4,797676867.444444
10,run5,797714597.222222
20,run1,855114248.444444
20,run2,855066779.722222
20,run3,854998276.666667
20,run4,855061726.611111
20,run5,855089383.555556
30,run1,940160863.838889
30,run2,940096991.977778
30,run3,940570411.361111
30,run4,940281153.705556
30,run5,939902895.883333
40,run1,898661029.838889
40,run2,899197530.733333
40,run3,899697524.405556
40,run4,899228871.45
40,run5,898927599.427778
50,run1,963744684.4
50,run2,964362586.422222
50,run3,964611995.2
50,run4,964383658.711111
50,run5,964205414.6
60,run1,1027801677.42778
60,run2,1027878900.87778
60,run3,1028904549.41111
60,run4,1030239483.02222
60,run5,1028158222.38333
70,run1,1011476343.73889
70,run2,1011226632.01667
70,run3,1012581131.34444
70,run4,1013105209.76111
70,run5,1011840614.78333
80,run1,1077120161.4
80,run2,1076771984.36667
80,run3,1080334248.71667
80,run4,1081751239.07778
80,run5,1078308172.73889
