Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,616842599.944445
10,run2,615566386.333333
10,run3,617440485.666667
10,run4,616601649.555556
10,run5,615209402.944444
20,run1,564649876.555556
20,run2,566360975.333333
20,run3,566830694.555556
20,run4,565245762.444445
20,run5,565082773.833333
30,run1,639270905.427778
30,run2,637755547.35
30,run3,639720512.022222
30,run4,638283743.133333
30,run5,637018479.311111
40,run1,605009305.194445
40,run2,603696652.072222
40,run3,605550486.983333
40,run4,605223957.461111
40,run5,604378422.722222
50,run1,692622757.405556
50,run2,690934852.127778
50,run3,692923020.505556
50,run4,691460649.355556
50,run5,690254968.638889
60,run1,832747569.977778
60,run2,831978679.566667
60,run3,830654202.833333
60,run4,831287153.288889
60,run5,829516439.944444
70,run1,955731405.311111
70,run2,955129842.372222
70,run3,955537284.738889
70,run4,955336896.094444
70,run5,955664168
80,run1,1217365581.55
80,run2,1216987063.25
80,run3,1216991836.50556
80,run4,1217043703.03889
80,run5,1218043294.81667
