Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,878042946.166667
10,run2,877929195.722222
10,run3,878212158.111111
10,run4,877676066.666667
10,run5,877929547.888889
20,run1,942643912
20,run2,944051663.388889
20,run3,943910650.944444
20,run4,943972923.888889
20,run5,943934849
30,run1,1027765999.41667
30,run2,1029741887.83889
30,run3,1028598056.43889
30,run4,1029364196.78333
30,run5,1029274682.48333
40,run1,980612943.455556
40,run2,984477134.588889
40,run3,981347784.6
40,run4,983067424.166667
40,run5,983028833.261111
50,run1,1008703667.27222
50,run2,1011563102.73333
50,run3,1009423845.22222
50,run4,1009453415.75
50,run5,1018742282.2
60,run1,1132850359.72778
60,run2,1135564943.51111
60,run3,1133002030.87222
60,run4,1128841660.72222
60,run5,1140695242.15556
70,run1,1272248294.39444
70,run2,1274657224.03889
70,run3,1273956231.41111
70,run4,1267160175.92222
70,run5,1280344315.7
80,run1,1301366381.92778
80,run2,1303119167.69444
80,run3,1301030954.12778
80,run4,1295236612.09444
80,run5,1306746666.22222
