Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
0,run2,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
0,run3,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
0,run4,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
0,run5,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
10,run1,882223411.4,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
10,run2,882409432.3,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
10,run3,882436273.1,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
10,run4,882278785.9,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
10,run5,882283879,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
20,run1,949749286.2,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
20,run2,950111845.3,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
20,run3,950134098.4,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
20,run4,949965197.6,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
20,run5,950128371.7,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
30,run1,968908806.1,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
30,run2,969302947.8,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
30,run3,969275788.2,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
30,run4,969769410.5,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
30,run5,968006953.5,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
40,run1,962195080.6,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
40,run2,959390455.2,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
40,run3,962474882.5,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
40,run4,960449096.6,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
40,run5,961278171.6,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
50,run1,1018298069,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
50,run2,1016046248,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
50,run3,1019161607,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
50,run4,1016858641,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
50,run5,1017829136,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
60,run1,1066292488,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
60,run2,1064794062,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
60,run3,1067739594,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
60,run4,1065148713,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
60,run5,1066472829,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
70,run1,1104669681,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
70,run2,1104014231,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
70,run3,1105887596,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
70,run4,1096996211,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
70,run5,1105965855,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
80,run1,1192454203,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
80,run2,1187510742,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
80,run3,1191565208,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
80,run4,1181018136,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
80,run5,1189570634,MIROC-ESM-CHEM_RCP45,RCP45,Resistance
