Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Transition
0,run2,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Transition
0,run3,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Transition
0,run4,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Transition
0,run5,800490033.2,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run1,691054579.8,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run2,691625433.6,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run3,691059760.6,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run4,691105098.4,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run5,691207499.6,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run1,636478174.6,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run2,638347762.2,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run3,636403324.1,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run4,638539529.7,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run5,638918606.3,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run1,653133414.4,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run2,654077340.7,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run3,655957788.5,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run4,657184929.2,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run5,654046988.5,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run1,649363544.2,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run2,653226558.7,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run3,652752098,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run4,656364593.1,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run5,655651220.5,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run1,733004815.4,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run2,738317925.1,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run3,735616894.7,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run4,738783529,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run5,737853374.5,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run1,859960671.7,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run2,865648352.5,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run3,862908751.5,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run4,865391670,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run5,863222850.1,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run1,1047603054,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run2,1049114088,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run3,1046690134,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run4,1047395232,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run5,1047808172,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run1,1345780594,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run2,1347107370,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run3,1344452462,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run4,1345003416,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run5,1345866739,MIROC-ESM-CHEM_RCP45,RCP45,Transition
