Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
0,run2,800490033.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
0,run3,800490033.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
0,run4,800490033.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
0,run5,800490033.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run1,826812531.4,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run2,826522892.6,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run3,826795156.6,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run4,826779295.1,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run5,826779317.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run1,993087467.3,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run2,992765667.7,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run3,993082288.6,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run4,992966834.8,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run5,990830691.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run1,1022581820,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run2,1022273928,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run3,1022486184,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run4,1022446703,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run5,1021698572,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run1,916912768,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run2,917685583.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run3,916927465.8,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run4,918459216.8,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run5,914782103.8,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run1,920400334.9,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run2,921362050.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run3,923661695,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run4,920161211,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run5,918507544.6,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run1,1014935847,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run2,1015422516,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run3,1017537028,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run4,1012830487,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run5,1016991677,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run1,1076004959,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run2,1078666710,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run3,1079372495,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run4,1074222695,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run5,1081677565,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run1,968639363.6,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run2,972345272.2,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run3,972312879.3,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run4,969368073.8,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run5,974496008.4,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
