Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,830692585.111111
10,run2,830595388.666667
10,run3,830711278.777778
10,run4,830526730.5
10,run5,830597228
20,run1,999650796.944444
20,run2,999601687.833333
20,run3,999665328.944444
20,run4,999452871.222222
20,run5,999544356.222222
30,run1,961993006.505556
30,run2,961629834.677778
30,run3,962570266.405556
30,run4,960648952.55
30,run5,961190488.411111
40,run1,893204783.255556
40,run2,893980103.6
40,run3,892959283.977778
40,run4,893009497.633333
40,run5,892970934.45
50,run1,922367838.644444
50,run2,923055916.172222
50,run3,922195365.172222
50,run4,922472130.544445
50,run5,922672234.938889
60,run1,948904285.066667
60,run2,950462577.983333
60,run3,948579826.038889
60,run4,947665469.683333
60,run5,949677505.877778
70,run1,923283324.333333
70,run2,922807213.922222
70,run3,921990919.638889
70,run4,920984531.438889
70,run5,920105530.566667
80,run1,859705656.955556
80,run2,863401920.433333
80,run3,860370503.544445
80,run4,860089172.794445
80,run5,858145144.894445
