Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,646874060.833333
10,run2,646478598.333333
10,run3,647854067.444444
10,run4,645889529.666667
10,run5,646057088.5
20,run1,685253741.944444
20,run2,685047949.055556
20,run3,685123802.777778
20,run4,683189474.166667
20,run5,685008221.222222
30,run1,648561870.1
30,run2,647567378.622222
30,run3,646395955.527778
30,run4,647148569.461111
30,run5,647459501.894445
40,run1,596257723.244445
40,run2,591753915.416667
40,run3,590797155.055556
40,run4,591876104.705556
40,run5,592329930.361111
50,run1,648176020.611111
50,run2,644972976.677778
50,run3,645053676.3
50,run4,646219024.583333
50,run5,648052626.788889
60,run1,746982090.594445
60,run2,745463551.216667
60,run3,744675470.977778
60,run4,745663914.566667
60,run5,746920459.222222
70,run1,853486938.955556
70,run2,850983810.338889
70,run3,850053470.561111
70,run4,851031486.411111
70,run5,852151944.044445
80,run1,943856989.577778
80,run2,941411635.1
80,run3,940014768.966667
80,run4,941334644.661111
80,run5,942053221.977778
