Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,712046259.944444
10,run2,712353948.777778
10,run3,712358064.5
10,run4,712074298.944445
10,run5,712350322
20,run1,765016395.277778
20,run2,766939631.722222
20,run3,766865683.555556
20,run4,766588839.666667
20,run5,767009979.611111
30,run1,842378482.283333
30,run2,845590990.733333
30,run3,844195933.061111
30,run4,845341533.905556
30,run5,845394153.888889
40,run1,815726668.6
40,run2,818736410.288889
40,run3,817640727.788889
40,run4,818455747.027778
40,run5,817364458.638889
50,run1,888209191.477778
50,run2,889483155.811111
50,run3,888489087.333333
50,run4,891762380.694444
50,run5,896306106.327778
60,run1,968447870.922222
60,run2,972015928.8
60,run3,969171128.616667
60,run4,974611812.083333
60,run5,978576164.572222
70,run1,1079521045.66667
70,run2,1083713357.47778
70,run3,1079245339.39444
70,run4,1086939044.55
70,run5,1090217451.63333
80,run1,1053113434.98333
80,run2,1056295097.17778
80,run3,1053262977.77222
80,run4,1060110448.77222
80,run5,1060751440.32222
