Time,Run,Score
0,run1,800490033.166667
0,run2,800490033.166667
0,run3,800490033.166667
0,run4,800490033.166667
0,run5,800490033.166667
10,run1,715639049.555556
10,run2,715762906.5
10,run3,715638298.888889
10,run4,715784006.444445
10,run5,715643412.166667
20,run1,772396881.166667
20,run2,772346736.722222
20,run3,772051832.444444
20,run4,772282569.388889
20,run5,771992877.444444
30,run1,796354090.45
30,run2,797094483.261111
30,run3,795866058.544445
30,run4,797222798.644445
30,run5,796396627.022222
40,run1,798378326.083333
40,run2,796960970.266667
40,run3,797557630.722222
40,run4,798868501.644445
40,run5,796289980.577778
50,run1,895994377.583333
50,run2,894498382.527778
50,run3,895426886.983333
50,run4,896704094.305556
50,run5,893835578.055556
60,run1,914345650.144445
60,run2,911871563.027778
60,run3,912952351.388889
60,run4,914580635.238889
60,run5,910944654.4
70,run1,937583244.255556
70,run2,936267613.772222
70,run3,936855300.566667
70,run4,938721289.055556
70,run5,935143472.827778
80,run1,955985967.533333
80,run2,954154257.627778
80,run3,953825189.077778
80,run4,956098571.194445
80,run5,954167463.833333
