Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,MRI-CGCM3_RCP45,RCP45,Transition
0,run2,800490033.2,MRI-CGCM3_RCP45,RCP45,Transition
0,run3,800490033.2,MRI-CGCM3_RCP45,RCP45,Transition
0,run4,800490033.2,MRI-CGCM3_RCP45,RCP45,Transition
0,run5,800490033.2,MRI-CGCM3_RCP45,RCP45,Transition
10,run1,543131600.6,MRI-CGCM3_RCP45,RCP45,Transition
10,run2,542377054.1,MRI-CGCM3_RCP45,RCP45,Transition
10,run3,543469657.1,MRI-CGCM3_RCP45,RCP45,Transition
10,run4,543325285,MRI-CGCM3_RCP45,RCP45,Transition
10,run5,543961083.6,MRI-CGCM3_RCP45,RCP45,Transition
20,run1,506619588.5,MRI-CGCM3_RCP45,RCP45,Transition
20,run2,505082934.4,MRI-CGCM3_RCP45,RCP45,Transition
20,run3,505565448.8,MRI-CGCM3_RCP45,RCP45,Transition
20,run4,506651476.3,MRI-CGCM3_RCP45,RCP45,Transition
20,run5,505346244.8,MRI-CGCM3_RCP45,RCP45,Transition
30,run1,531036579.8,MRI-CGCM3_RCP45,RCP45,Transition
30,run2,529748625.5,MRI-CGCM3_RCP45,RCP45,Transition
30,run3,528412315.1,MRI-CGCM3_RCP45,RCP45,Transition
30,run4,532493904.7,MRI-CGCM3_RCP45,RCP45,Transition
30,run5,531407458.5,MRI-CGCM3_RCP45,RCP45,Transition
40,run1,535976075.2,MRI-CGCM3_RCP45,RCP45,Transition
40,run2,532755013,MRI-CGCM3_RCP45,RCP45,Transition
40,run3,533022898.2,MRI-CGCM3_RCP45,RCP45,Transition
40,run4,536758436.4,MRI-CGCM3_RCP45,RCP45,Transition
40,run5,538931164.1,MRI-CGCM3_RCP45,RCP45,Transition
50,run1,640438370,MRI-CGCM3_RCP45,RCP45,Transition
50,run2,638032013.3,MRI-CGCM3_RCP45,RCP45,Transition
50,run3,637430295.7,MRI-CGCM3_RCP45,RCP45,Transition
50,run4,641011980.9,MRI-CGCM3_RCP45,RCP45,Transition
50,run5,641931589,MRI-CGCM3_RCP45,RCP45,Transition
60,run1,710085467.1,MRI-CGCM3_RCP45,RCP45,Transition
60,run2,707563321.9,MRI-CGCM3_RCP45,RCP45,Transition
60,run3,706379440.9,MRI-CGCM3_RCP45,RCP45,Transition
60,run4,710553111.1,MRI-CGCM3_RCP45,RCP45,Transition
60,run5,713713167.7,MRI-CGCM3_RCP45,RCP45,Transition
70,run1,836930889.4,MRI-CGCM3_RCP45,RCP45,Transition
70,run2,837257787.3,MRI-CGCM3_RCP45,RCP45,Transition
70,run3,834714611.5,MRI-CGCM3_RCP45,RCP45,Transition
70,run4,836039601.7,MRI-CGCM3_RCP45,RCP45,Transition
70,run5,839394344.9,MRI-CGCM3_RCP45,RCP45,Transition
80,run1,1004076056,MRI-CGCM3_RCP45,RCP45,Transition
80,run2,1004593296,MRI-CGCM3_RCP45,RCP45,Transition
80,run3,1001125800,MRI-CGCM3_RCP45,RCP45,Transition
80,run4,1002952313,MRI-CGCM3_RCP45,RCP45,Transition
80,run5,1007054146,MRI-CGCM3_RCP45,RCP45,Transition
