Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,MRI-CGCM3_RCP85,RCP85,Resilience
0,run2,800490033.2,MRI-CGCM3_RCP85,RCP85,Resilience
0,run3,800490033.2,MRI-CGCM3_RCP85,RCP85,Resilience
0,run4,800490033.2,MRI-CGCM3_RCP85,RCP85,Resilience
0,run5,800490033.2,MRI-CGCM3_RCP85,RCP85,Resilience
10,run1,832418242.7,MRI-CGCM3_RCP85,RCP85,Resilience
10,run2,832486302.4,MRI-CGCM3_RCP85,RCP85,Resilience
10,run3,832402270.3,MRI-CGCM3_RCP85,RCP85,Resilience
10,run4,832342006.1,MRI-CGCM3_RCP85,RCP85,Resilience
10,run5,832346017.9,MRI-CGCM3_RCP85,RCP85,Resilience
20,run1,973464802.6,MRI-CGCM3_RCP85,RCP85,Resilience
20,run2,971785522,MRI-CGCM3_RCP85,RCP85,Resilience
20,run3,974134416.7,MRI-CGCM3_RCP85,RCP85,Resilience
20,run4,971614047.1,MRI-CGCM3_RCP85,RCP85,Resilience
20,run5,974289708.4,MRI-CGCM3_RCP85,RCP85,Resilience
30,run1,1062409660,MRI-CGCM3_RCP85,RCP85,Resilience
30,run2,1059564128,MRI-CGCM3_RCP85,RCP85,Resilience
30,run3,1061472796,MRI-CGCM3_RCP85,RCP85,Resilience
30,run4,1057404311,MRI-CGCM3_RCP85,RCP85,Resilience
30,run5,1063557790,MRI-CGCM3_RCP85,RCP85,Resilience
40,run1,969681368.7,MRI-CGCM3_RCP85,RCP85,Resilience
40,run2,967218250.2,MRI-CGCM3_RCP85,RCP85,Resilience
40,run3,969625984.1,MRI-CGCM3_RCP85,RCP85,Resilience
40,run4,964464626.4,MRI-CGCM3_RCP85,RCP85,Resilience
40,run5,970494528.2,MRI-CGCM3_RCP85,RCP85,Resilience
50,run1,1012003977,MRI-CGCM3_RCP85,RCP85,Resilience
50,run2,1013508666,MRI-CGCM3_RCP85,RCP85,Resilience
50,run3,1010329569,MRI-CGCM3_RCP85,RCP85,Resilience
50,run4,1010549572,MRI-CGCM3_RCP85,RCP85,Resilience
50,run5,1012947666,MRI-CGCM3_RCP85,RCP85,Resilience
60,run1,1108834512,MRI-CGCM3_RCP85,RCP85,Resilience
60,run2,1112895752,MRI-CGCM3_RCP85,RCP85,Resilience
60,run3,1110564605,MRI-CGCM3_RCP85,RCP85,Resilience
60,run4,1107554450,MRI-CGCM3_RCP85,RCP85,Resilience
60,run5,1114775820,MRI-CGCM3_RCP85,RCP85,Resilience
70,run1,1201063517,MRI-CGCM3_RCP85,RCP85,Resilience
70,run2,1203057445,MRI-CGCM3_RCP85,RCP85,Resilience
70,run3,1206000375,MRI-CGCM3_RCP85,RCP85,Resilience
70,run4,1199102678,MRI-CGCM3_RCP85,RCP85,Resilience
70,run5,1210421539,MRI-CGCM3_RCP85,RCP85,Resilience
80,run1,1169605021,MRI-CGCM3_RCP85,RCP85,Resilience
80,run2,1169853019,MRI-CGCM3_RCP85,RCP85,Resilience
80,run3,1175982239,MRI-CGCM3_RCP85,RCP85,Resilience
80,run4,1165203982,MRI-CGCM3_RCP85,RCP85,Resilience
80,run5,1177974043,MRI-CGCM3_RCP85,RCP85,Resilience
