Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,MRI-CGCM3_RCP85,RCP85,Resistance
0,run2,800490033.2,MRI-CGCM3_RCP85,RCP85,Resistance
0,run3,800490033.2,MRI-CGCM3_RCP85,RCP85,Resistance
0,run4,800490033.2,MRI-CGCM3_RCP85,RCP85,Resistance
0,run5,800490033.2,MRI-CGCM3_RCP85,RCP85,Resistance
10,run1,836631280.8,MRI-CGCM3_RCP85,RCP85,Resistance
10,run2,836542170.9,MRI-CGCM3_RCP85,RCP85,Resistance
10,run3,836615280.2,MRI-CGCM3_RCP85,RCP85,Resistance
10,run4,836700654.1,MRI-CGCM3_RCP85,RCP85,Resistance
10,run5,836542724,MRI-CGCM3_RCP85,RCP85,Resistance
20,run1,980851913,MRI-CGCM3_RCP85,RCP85,Resistance
20,run2,981231095.8,MRI-CGCM3_RCP85,RCP85,Resistance
20,run3,981149259.8,MRI-CGCM3_RCP85,RCP85,Resistance
20,run4,980909596.6,MRI-CGCM3_RCP85,RCP85,Resistance
20,run5,981185781.8,MRI-CGCM3_RCP85,RCP85,Resistance
30,run1,1002277286,MRI-CGCM3_RCP85,RCP85,Resistance
30,run2,1001472766,MRI-CGCM3_RCP85,RCP85,Resistance
30,run3,1002312699,MRI-CGCM3_RCP85,RCP85,Resistance
30,run4,1001648519,MRI-CGCM3_RCP85,RCP85,Resistance
30,run5,1000543733,MRI-CGCM3_RCP85,RCP85,Resistance
40,run1,948717173.6,MRI-CGCM3_RCP85,RCP85,Resistance
40,run2,948179361.5,MRI-CGCM3_RCP85,RCP85,Resistance
40,run3,947553764.6,MRI-CGCM3_RCP85,RCP85,Resistance
40,run4,945494467.3,MRI-CGCM3_RCP85,RCP85,Resistance
40,run5,947804138.9,MRI-CGCM3_RCP85,RCP85,Resistance
50,run1,1021665407,MRI-CGCM3_RCP85,RCP85,Resistance
50,run2,1021197278,MRI-CGCM3_RCP85,RCP85,Resistance
50,run3,1020328605,MRI-CGCM3_RCP85,RCP85,Resistance
50,run4,1018818372,MRI-CGCM3_RCP85,RCP85,Resistance
50,run5,1020475771,MRI-CGCM3_RCP85,RCP85,Resistance
60,run1,1046607042,MRI-CGCM3_RCP85,RCP85,Resistance
60,run2,1046089521,MRI-CGCM3_RCP85,RCP85,Resistance
60,run3,1049287145,MRI-CGCM3_RCP85,RCP85,Resistance
60,run4,1044133315,MRI-CGCM3_RCP85,RCP85,Resistance
60,run5,1046928710,MRI-CGCM3_RCP85,RCP85,Resistance
70,run1,1041291713,MRI-CGCM3_RCP85,RCP85,Resistance
70,run2,1042519279,MRI-CGCM3_RCP85,RCP85,Resistance
70,run3,1046419580,MRI-CGCM3_RCP85,RCP85,Resistance
70,run4,1041383050,MRI-CGCM3_RCP85,RCP85,Resistance
70,run5,1041569060,MRI-CGCM3_RCP85,RCP85,Resistance
80,run1,1063882073,MRI-CGCM3_RCP85,RCP85,Resistance
80,run2,1064530878,MRI-CGCM3_RCP85,RCP85,Resistance
80,run3,1066306664,MRI-CGCM3_RCP85,RCP85,Resistance
80,run4,1059042591,MRI-CGCM3_RCP85,RCP85,Resistance
80,run5,1063187791,MRI-CGCM3_RCP85,RCP85,Resistance
