Time,Run,Score
0,run1,1129923770.22222
0,run2,1129923770.22222
0,run3,1129923770.22222
0,run4,1129923770.22222
0,run5,1129923770.22222
10,run1,1192528089.38889
10,run2,1192348663.11111
10,run3,1192451882.88889
10,run4,1192360562.38889
10,run5,1192328308.88889
20,run1,1357443198.22222
20,run2,1357235157.83333
20,run3,1357205677.88889
20,run4,1357415233.5
20,run5,1357301600.27778
30,run1,1799050568
30,run2,1800816579.22222
30,run3,1798861327.33333
30,run4,1801670035.11111
30,run5,1801542337.16667
40,run1,1844316328.38333
40,run2,1846185002.18889
40,run3,1844853020.55
40,run4,1843241751.77778
40,run5,1844570223.25
50,run1,1872486693.82778
50,run2,1873793555.38333
50,run3,1873676445.65
50,run4,1871067517.06111
50,run5,1870817171.58333
60,run1,2078795623.1
60,run2,2081216643.65
60,run3,2077936412.87778
60,run4,2074117510.87222
60,run5,2077290469.68333
70,run1,2205967170.10556
70,run2,2209438380.03333
70,run3,2202834630.65556
70,run4,2201124215.26667
70,run5,2202399478.63889
80,run1,2302482295.09444
80,run2,2317837149.23333
80,run3,2304728861.91667
80,run4,2306787218.87222
80,run5,2311387065.91667
