Time,Run,Score
0,run1,1129923770.22222
0,run2,1129923770.22222
0,run3,1129923770.22222
0,run4,1129923770.22222
0,run5,1129923770.22222
10,run1,1244676037.05556
10,run2,1244598447.33333
10,run3,1244761924.66667
10,run4,1244845977.77778
10,run5,1244734035.83333
20,run1,1539021766.5
20,run2,1538903779.11111
20,run3,1538964726.38889
20,run4,1539133140.22222
20,run5,1539026389.11111
30,run1,1656800441.55556
30,run2,1655680338
30,run3,1657868995.11111
30,run4,1658044259.61111
30,run5,1656396539.22222
40,run1,1809764698.25556
40,run2,1806926923.93889
40,run3,1805627088.48889
40,run4,1805406053.69444
40,run5,1808494846.32778
50,run1,2062352785.26111
50,run2,2059505283.35556
50,run3,2057529112.09444
50,run4,2057824519.77222
50,run5,2061052792.12778
60,run1,2187833437.61111
60,run2,2187737802.52778
60,run3,2185513259.23333
60,run4,2189468460.31111
60,run5,2191474960.80556
70,run1,2260817164.82222
70,run2,2254536082.11111
70,run3,2251149558.38333
70,run4,2254590889.62778
70,run5,2257085432.33333
80,run1,2330584322.81111
80,run2,2328005111.85
80,run3,2331186082.48333
80,run4,2330279123.23333
80,run5,2332499788.66111
