Time,Run,Score
0,run1,1129923770.22222
0,run2,1129923770.22222
0,run3,1129923770.22222
0,run4,1129923770.22222
0,run5,1129923770.22222
10,run1,1236552840.72222
10,run2,1237054256.33333
10,run3,1236754561.38889
10,run4,1236911402.22222
10,run5,1237156366.77778
20,run1,1537701403.66667
20,run2,1540452743.05556
20,run3,1540128112.38889
20,run4,1538084071.88889
20,run5,1540570707.05556
30,run1,1951266194.05556
30,run2,1953858861.72222
30,run3,1955030134.77778
30,run4,1951021396.88889
30,run5,1955065167.44444
40,run1,1962965880.87778
40,run2,1970460579.14444
40,run3,1969392173.03333
40,run4,1964785970.36111
40,run5,1969303707.35556
50,run1,2047870680.32778
50,run2,2052578463.41667
50,run3,2053021126.18889
50,run4,2053176804.97778
50,run5,2052679563.51111
60,run1,2376269271.18333
60,run2,2374819854.23333
60,run3,2378403882.32222
60,run4,2373518152.57222
60,run5,2374084039.17222
70,run1,2706236112.72222
70,run2,2706784730.81111
70,run3,2708821420.17222
70,run4,2699498623.21667
70,run5,2704373604.46667
80,run1,2650416358.11667
80,run2,2653320702.28333
80,run3,2654099749
80,run4,2642777940.22222
80,run5,2649512236.15
