Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,BNU-ESM_RCP45,RCP45,Resistance
0,run2,1129923770,BNU-ESM_RCP45,RCP45,Resistance
0,run3,1129923770,BNU-ESM_RCP45,RCP45,Resistance
0,run4,1129923770,BNU-ESM_RCP45,RCP45,Resistance
0,run5,1129923770,BNU-ESM_RCP45,RCP45,Resistance
10,run1,1332437036,BNU-ESM_RCP45,RCP45,Resistance
10,run2,1332216613,BNU-ESM_RCP45,RCP45,Resistance
10,run3,1332155221,BNU-ESM_RCP45,RCP45,Resistance
10,run4,1332134061,BNU-ESM_RCP45,RCP45,Resistance
10,run5,1332465228,BNU-ESM_RCP45,RCP45,Resistance
20,run1,1608281650,BNU-ESM_RCP45,RCP45,Resistance
20,run2,1608197063,BNU-ESM_RCP45,RCP45,Resistance
20,run3,1608062311,BNU-ESM_RCP45,RCP45,Resistance
20,run4,1608013495,BNU-ESM_RCP45,RCP45,Resistance
20,run5,1608440203,BNU-ESM_RCP45,RCP45,Resistance
30,run1,1805084507,BNU-ESM_RCP45,RCP45,Resistance
30,run2,1803772474,BNU-ESM_RCP45,RCP45,Resistance
30,run3,1803658906,BNU-ESM_RCP45,RCP45,Resistance
30,run4,1804221326,BNU-ESM_RCP45,RCP45,Resistance
30,run5,1804585078,BNU-ESM_RCP45,RCP45,Resistance
40,run1,1942523721,BNU-ESM_RCP45,RCP45,Resistance
40,run2,1944937622,BNU-ESM_RCP45,RCP45,Resistance
40,run3,1944109645,BNU-ESM_RCP45,RCP45,Resistance
40,run4,1943033768,BNU-ESM_RCP45,RCP45,Resistance
40,run5,1938938506,BNU-ESM_RCP45,RCP45,Resistance
50,run1,2092945822,BNU-ESM_RCP45,RCP45,Resistance
50,run2,2094877494,BNU-ESM_RCP45,RCP45,Resistance
50,run3,2094623434,BNU-ESM_RCP45,RCP45,Resistance
50,run4,2094573339,BNU-ESM_RCP45,RCP45,Resistance
50,run5,2089577990,BNU-ESM_RCP45,RCP45,Resistance
60,run1,2156836077,BNU-ESM_RCP45,RCP45,Resistance
60,run2,2152785187,BNU-ESM_RCP45,RCP45,Resistance
60,run3,2156583108,BNU-ESM_RCP45,RCP45,Resistance
60,run4,2155769857,BNU-ESM_RCP45,RCP45,Resistance
60,run5,2148570118,BNU-ESM_RCP45,RCP45,Resistance
70,run1,2358293402,BNU-ESM_RCP45,RCP45,Resistance
70,run2,2354633230,BNU-ESM_RCP45,RCP45,Resistance
70,run3,2357831611,BNU-ESM_RCP45,RCP45,Resistance
70,run4,2359513574,BNU-ESM_RCP45,RCP45,Resistance
70,run5,2358899984,BNU-ESM_RCP45,RCP45,Resistance
80,run1,2353781953,BNU-ESM_RCP45,RCP45,Resistance
80,run2,2350958931,BNU-ESM_RCP45,RCP45,Resistance
80,run3,2350339041,BNU-ESM_RCP45,RCP45,Resistance
80,run4,2350103297,BNU-ESM_RCP45,RCP45,Resistance
80,run5,2350943577,BNU-ESM_RCP45,RCP45,Resistance
