Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,BNU-ESM_RCP85,RCP85,Resilience
0,run2,1129923770,BNU-ESM_RCP85,RCP85,Resilience
0,run3,1129923770,BNU-ESM_RCP85,RCP85,Resilience
0,run4,1129923770,BNU-ESM_RCP85,RCP85,Resilience
0,run5,1129923770,BNU-ESM_RCP85,RCP85,Resilience
10,run1,1240882644,BNU-ESM_RCP85,RCP85,Resilience
10,run2,1240588588,BNU-ESM_RCP85,RCP85,Resilience
10,run3,1240881050,BNU-ESM_RCP85,RCP85,Resilience
10,run4,1240741429,BNU-ESM_RCP85,RCP85,Resilience
10,run5,1240944402,BNU-ESM_RCP85,RCP85,Resilience
20,run1,1567004621,BNU-ESM_RCP85,RCP85,Resilience
20,run2,1565486785,BNU-ESM_RCP85,RCP85,Resilience
20,run3,1567874918,BNU-ESM_RCP85,RCP85,Resilience
20,run4,1567453744,BNU-ESM_RCP85,RCP85,Resilience
20,run5,1567923016,BNU-ESM_RCP85,RCP85,Resilience
30,run1,1897324346,BNU-ESM_RCP85,RCP85,Resilience
30,run2,1894929546,BNU-ESM_RCP85,RCP85,Resilience
30,run3,1898750901,BNU-ESM_RCP85,RCP85,Resilience
30,run4,1899901408,BNU-ESM_RCP85,RCP85,Resilience
30,run5,1897033717,BNU-ESM_RCP85,RCP85,Resilience
40,run1,1722963188,BNU-ESM_RCP85,RCP85,Resilience
40,run2,1718600208,BNU-ESM_RCP85,RCP85,Resilience
40,run3,1725505552,BNU-ESM_RCP85,RCP85,Resilience
40,run4,1727438493,BNU-ESM_RCP85,RCP85,Resilience
40,run5,1723332901,BNU-ESM_RCP85,RCP85,Resilience
50,run1,1843221823,BNU-ESM_RCP85,RCP85,Resilience
50,run2,1840837701,BNU-ESM_RCP85,RCP85,Resilience
50,run3,1844569207,BNU-ESM_RCP85,RCP85,Resilience
50,run4,1848092093,BNU-ESM_RCP85,RCP85,Resilience
50,run5,1843174728,BNU-ESM_RCP85,RCP85,Resilience
60,run1,2152119269,BNU-ESM_RCP85,RCP85,Resilience
60,run2,2145048311,BNU-ESM_RCP85,RCP85,Resilience
60,run3,2150689243,BNU-ESM_RCP85,RCP85,Resilience
60,run4,2158188290,BNU-ESM_RCP85,RCP85,Resilience
60,run5,2154753817,BNU-ESM_RCP85,RCP85,Resilience
70,run1,2340380285,BNU-ESM_RCP85,RCP85,Resilience
70,run2,2332294069,BNU-ESM_RCP85,RCP85,Resilience
70,run3,2343231539,BNU-ESM_RCP85,RCP85,Resilience
70,run4,2344714130,BNU-ESM_RCP85,RCP85,Resilience
70,run5,2341523096,BNU-ESM_RCP85,RCP85,Resilience
80,run1,2238358165,BNU-ESM_RCP85,RCP85,Resilience
80,run2,2227692522,BNU-ESM_RCP85,RCP85,Resilience
80,run3,2242360773,BNU-ESM_RCP85,RCP85,Resilience
80,run4,2245823632,BNU-ESM_RCP85,RCP85,Resilience
80,run5,2238520552,BNU-ESM_RCP85,RCP85,Resilience
