Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,BNU-ESM_RCP85,RCP85,Transition
0,run2,1129923770,BNU-ESM_RCP85,RCP85,Transition
0,run3,1129923770,BNU-ESM_RCP85,RCP85,Transition
0,run4,1129923770,BNU-ESM_RCP85,RCP85,Transition
0,run5,1129923770,BNU-ESM_RCP85,RCP85,Transition
10,run1,988786969.9,BNU-ESM_RCP85,RCP85,Transition
10,run2,989148336.7,BNU-ESM_RCP85,RCP85,Transition
10,run3,990046676.7,BNU-ESM_RCP85,RCP85,Transition
10,run4,990743261.2,BNU-ESM_RCP85,RCP85,Transition
10,run5,987928636.4,BNU-ESM_RCP85,RCP85,Transition
20,run1,1128769221,BNU-ESM_RCP85,RCP85,Transition
20,run2,1127009783,BNU-ESM_RCP85,RCP85,Transition
20,run3,1128826781,BNU-ESM_RCP85,RCP85,Transition
20,run4,1127725979,BNU-ESM_RCP85,RCP85,Transition
20,run5,1127554076,BNU-ESM_RCP85,RCP85,Transition
30,run1,1322415081,BNU-ESM_RCP85,RCP85,Transition
30,run2,1323432255,BNU-ESM_RCP85,RCP85,Transition
30,run3,1326375524,BNU-ESM_RCP85,RCP85,Transition
30,run4,1321348480,BNU-ESM_RCP85,RCP85,Transition
30,run5,1318593537,BNU-ESM_RCP85,RCP85,Transition
40,run1,1280514633,BNU-ESM_RCP85,RCP85,Transition
40,run2,1275645394,BNU-ESM_RCP85,RCP85,Transition
40,run3,1282463608,BNU-ESM_RCP85,RCP85,Transition
40,run4,1274838449,BNU-ESM_RCP85,RCP85,Transition
40,run5,1273737841,BNU-ESM_RCP85,RCP85,Transition
50,run1,1525524599,BNU-ESM_RCP85,RCP85,Transition
50,run2,1526194569,BNU-ESM_RCP85,RCP85,Transition
50,run3,1533128816,BNU-ESM_RCP85,RCP85,Transition
50,run4,1525504116,BNU-ESM_RCP85,RCP85,Transition
50,run5,1523955689,BNU-ESM_RCP85,RCP85,Transition
60,run1,1959594462,BNU-ESM_RCP85,RCP85,Transition
60,run2,1958033495,BNU-ESM_RCP85,RCP85,Transition
60,run3,1965544256,BNU-ESM_RCP85,RCP85,Transition
60,run4,1958585950,BNU-ESM_RCP85,RCP85,Transition
60,run5,1957733003,BNU-ESM_RCP85,RCP85,Transition
70,run1,2304163505,BNU-ESM_RCP85,RCP85,Transition
70,run2,2300718187,BNU-ESM_RCP85,RCP85,Transition
70,run3,2307372834,BNU-ESM_RCP85,RCP85,Transition
70,run4,2303146729,BNU-ESM_RCP85,RCP85,Transition
70,run5,2301426655,BNU-ESM_RCP85,RCP85,Transition
80,run1,2660494855,BNU-ESM_RCP85,RCP85,Transition
80,run2,2655666982,BNU-ESM_RCP85,RCP85,Transition
80,run3,2662405976,BNU-ESM_RCP85,RCP85,Transition
80,run4,2657068076,BNU-ESM_RCP85,RCP85,Transition
80,run5,2656394401,BNU-ESM_RCP85,RCP85,Transition
