Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,CCSM4_RCP45,RCP45,Resilience
0,run2,1129923770,CCSM4_RCP45,RCP45,Resilience
0,run3,1129923770,CCSM4_RCP45,RCP45,Resilience
0,run4,1129923770,CCSM4_RCP45,RCP45,Resilience
0,run5,1129923770,CCSM4_RCP45,RCP45,Resilience
10,run1,1236851737,CCSM4_RCP45,RCP45,Resilience
10,run2,1237379798,CCSM4_RCP45,RCP45,Resilience
10,run3,1237014682,CCSM4_RCP45,RCP45,Resilience
10,run4,1237181510,CCSM4_RCP45,RCP45,Resilience
10,run5,1237355044,CCSM4_RCP45,RCP45,Resilience
20,run1,1524968980,CCSM4_RCP45,RCP45,Resilience
20,run2,1525374358,CCSM4_RCP45,RCP45,Resilience
20,run3,1527139648,CCSM4_RCP45,RCP45,Resilience
20,run4,1525631249,CCSM4_RCP45,RCP45,Resilience
20,run5,1527466120,CCSM4_RCP45,RCP45,Resilience
30,run1,1753340169,CCSM4_RCP45,RCP45,Resilience
30,run2,1754468748,CCSM4_RCP45,RCP45,Resilience
30,run3,1757660176,CCSM4_RCP45,RCP45,Resilience
30,run4,1755648961,CCSM4_RCP45,RCP45,Resilience
30,run5,1756336542,CCSM4_RCP45,RCP45,Resilience
40,run1,1818149010,CCSM4_RCP45,RCP45,Resilience
40,run2,1821386417,CCSM4_RCP45,RCP45,Resilience
40,run3,1819361610,CCSM4_RCP45,RCP45,Resilience
40,run4,1820256490,CCSM4_RCP45,RCP45,Resilience
40,run5,1824937543,CCSM4_RCP45,RCP45,Resilience
50,run1,2001676941,CCSM4_RCP45,RCP45,Resilience
50,run2,2004713901,CCSM4_RCP45,RCP45,Resilience
50,run3,2008137717,CCSM4_RCP45,RCP45,Resilience
50,run4,2003480485,CCSM4_RCP45,RCP45,Resilience
50,run5,2003092252,CCSM4_RCP45,RCP45,Resilience
60,run1,2260022258,CCSM4_RCP45,RCP45,Resilience
60,run2,2263244039,CCSM4_RCP45,RCP45,Resilience
60,run3,2265867442,CCSM4_RCP45,RCP45,Resilience
60,run4,2263477307,CCSM4_RCP45,RCP45,Resilience
60,run5,2260726713,CCSM4_RCP45,RCP45,Resilience
70,run1,2509465014,CCSM4_RCP45,RCP45,Resilience
70,run2,2513989136,CCSM4_RCP45,RCP45,Resilience
70,run3,2520083381,CCSM4_RCP45,RCP45,Resilience
70,run4,2516603671,CCSM4_RCP45,RCP45,Resilience
70,run5,2508961917,CCSM4_RCP45,RCP45,Resilience
80,run1,2468692592,CCSM4_RCP45,RCP45,Resilience
80,run2,2474756719,CCSM4_RCP45,RCP45,Resilience
80,run3,2474676028,CCSM4_RCP45,RCP45,Resilience
80,run4,2476275317,CCSM4_RCP45,RCP45,Resilience
80,run5,2472281743,CCSM4_RCP45,RCP45,Resilience
