Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,CCSM4_RCP45,RCP45,Resistance
0,run2,1129923770,CCSM4_RCP45,RCP45,Resistance
0,run3,1129923770,CCSM4_RCP45,RCP45,Resistance
0,run4,1129923770,CCSM4_RCP45,RCP45,Resistance
0,run5,1129923770,CCSM4_RCP45,RCP45,Resistance
10,run1,1244676037,CCSM4_RCP45,RCP45,Resistance
10,run2,1244598447,CCSM4_RCP45,RCP45,Resistance
10,run3,1244761925,CCSM4_RCP45,RCP45,Resistance
10,run4,1244845978,CCSM4_RCP45,RCP45,Resistance
10,run5,1244734036,CCSM4_RCP45,RCP45,Resistance
20,run1,1539021767,CCSM4_RCP45,RCP45,Resistance
20,run2,1538903779,CCSM4_RCP45,RCP45,Resistance
20,run3,1538964726,CCSM4_RCP45,RCP45,Resistance
20,run4,1539133140,CCSM4_RCP45,RCP45,Resistance
20,run5,1539026389,CCSM4_RCP45,RCP45,Resistance
30,run1,1656800442,CCSM4_RCP45,RCP45,Resistance
30,run2,1655680338,CCSM4_RCP45,RCP45,Resistance
30,run3,1657868995,CCSM4_RCP45,RCP45,Resistance
30,run4,1658044260,CCSM4_RCP45,RCP45,Resistance
30,run5,1656396539,CCSM4_RCP45,RCP45,Resistance
40,run1,1809764698,CCSM4_RCP45,RCP45,Resistance
40,run2,1806926924,CCSM4_RCP45,RCP45,Resistance
40,run3,1805627088,CCSM4_RCP45,RCP45,Resistance
40,run4,1805406054,CCSM4_RCP45,RCP45,Resistance
40,run5,1808494846,CCSM4_RCP45,RCP45,Resistance
50,run1,2062352785,CCSM4_RCP45,RCP45,Resistance
50,run2,2059505283,CCSM4_RCP45,RCP45,Resistance
50,run3,2057529112,CCSM4_RCP45,RCP45,Resistance
50,run4,2057824520,CCSM4_RCP45,RCP45,Resistance
50,run5,2061052792,CCSM4_RCP45,RCP45,Resistance
60,run1,2187833438,CCSM4_RCP45,RCP45,Resistance
60,run2,2187737803,CCSM4_RCP45,RCP45,Resistance
60,run3,2185513259,CCSM4_RCP45,RCP45,Resistance
60,run4,2189468460,CCSM4_RCP45,RCP45,Resistance
60,run5,2191474961,CCSM4_RCP45,RCP45,Resistance
70,run1,2260817165,CCSM4_RCP45,RCP45,Resistance
70,run2,2254536082,CCSM4_RCP45,RCP45,Resistance
70,run3,2251149558,CCSM4_RCP45,RCP45,Resistance
70,run4,2254590890,CCSM4_RCP45,RCP45,Resistance
70,run5,2257085432,CCSM4_RCP45,RCP45,Resistance
80,run1,2330584323,CCSM4_RCP45,RCP45,Resistance
80,run2,2328005112,CCSM4_RCP45,RCP45,Resistance
80,run3,2331186082,CCSM4_RCP45,RCP45,Resistance
80,run4,2330279123,CCSM4_RCP45,RCP45,Resistance
80,run5,2332499789,CCSM4_RCP45,RCP45,Resistance
