Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,CCSM4_RCP45,RCP45,Transition
0,run2,1129923770,CCSM4_RCP45,RCP45,Transition
0,run3,1129923770,CCSM4_RCP45,RCP45,Transition
0,run4,1129923770,CCSM4_RCP45,RCP45,Transition
0,run5,1129923770,CCSM4_RCP45,RCP45,Transition
10,run1,986947357.8,CCSM4_RCP45,RCP45,Transition
10,run2,987311347.6,CCSM4_RCP45,RCP45,Transition
10,run3,986807856.9,CCSM4_RCP45,RCP45,Transition
10,run4,986661997.2,CCSM4_RCP45,RCP45,Transition
10,run5,986994516,CCSM4_RCP45,RCP45,Transition
20,run1,1096511158,CCSM4_RCP45,RCP45,Transition
20,run2,1094880935,CCSM4_RCP45,RCP45,Transition
20,run3,1094730731,CCSM4_RCP45,RCP45,Transition
20,run4,1097189172,CCSM4_RCP45,RCP45,Transition
20,run5,1098312058,CCSM4_RCP45,RCP45,Transition
30,run1,1204250133,CCSM4_RCP45,RCP45,Transition
30,run2,1202786925,CCSM4_RCP45,RCP45,Transition
30,run3,1202450147,CCSM4_RCP45,RCP45,Transition
30,run4,1202747080,CCSM4_RCP45,RCP45,Transition
30,run5,1201880904,CCSM4_RCP45,RCP45,Transition
40,run1,1390426616,CCSM4_RCP45,RCP45,Transition
40,run2,1388282980,CCSM4_RCP45,RCP45,Transition
40,run3,1389042557,CCSM4_RCP45,RCP45,Transition
40,run4,1393797851,CCSM4_RCP45,RCP45,Transition
40,run5,1388040681,CCSM4_RCP45,RCP45,Transition
50,run1,1723357945,CCSM4_RCP45,RCP45,Transition
50,run2,1722757387,CCSM4_RCP45,RCP45,Transition
50,run3,1723052375,CCSM4_RCP45,RCP45,Transition
50,run4,1724125282,CCSM4_RCP45,RCP45,Transition
50,run5,1721919154,CCSM4_RCP45,RCP45,Transition
60,run1,2090977482,CCSM4_RCP45,RCP45,Transition
60,run2,2087259649,CCSM4_RCP45,RCP45,Transition
60,run3,2089818698,CCSM4_RCP45,RCP45,Transition
60,run4,2092914093,CCSM4_RCP45,RCP45,Transition
60,run5,2090134870,CCSM4_RCP45,RCP45,Transition
70,run1,2512019276,CCSM4_RCP45,RCP45,Transition
70,run2,2511340553,CCSM4_RCP45,RCP45,Transition
70,run3,2511663148,CCSM4_RCP45,RCP45,Transition
70,run4,2514808693,CCSM4_RCP45,RCP45,Transition
70,run5,2510036599,CCSM4_RCP45,RCP45,Transition
80,run1,2970314488,CCSM4_RCP45,RCP45,Transition
80,run2,2968949173,CCSM4_RCP45,RCP45,Transition
80,run3,2969761176,CCSM4_RCP45,RCP45,Transition
80,run4,2973745908,CCSM4_RCP45,RCP45,Transition
80,run5,2968516205,CCSM4_RCP45,RCP45,Transition
