Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,CCSM4_RCP85,RCP85,Resistance
0,run2,1129923770,CCSM4_RCP85,RCP85,Resistance
0,run3,1129923770,CCSM4_RCP85,RCP85,Resistance
0,run4,1129923770,CCSM4_RCP85,RCP85,Resistance
0,run5,1129923770,CCSM4_RCP85,RCP85,Resistance
10,run1,1180377809,CCSM4_RCP85,RCP85,Resistance
10,run2,1180273379,CCSM4_RCP85,RCP85,Resistance
10,run3,1180123263,CCSM4_RCP85,RCP85,Resistance
10,run4,1180251380,CCSM4_RCP85,RCP85,Resistance
10,run5,1180374847,CCSM4_RCP85,RCP85,Resistance
20,run1,1363328863,CCSM4_RCP85,RCP85,Resistance
20,run2,1363219958,CCSM4_RCP85,RCP85,Resistance
20,run3,1363144702,CCSM4_RCP85,RCP85,Resistance
20,run4,1363200589,CCSM4_RCP85,RCP85,Resistance
20,run5,1363305785,CCSM4_RCP85,RCP85,Resistance
30,run1,1650271008,CCSM4_RCP85,RCP85,Resistance
30,run2,1650051610,CCSM4_RCP85,RCP85,Resistance
30,run3,1650888383,CCSM4_RCP85,RCP85,Resistance
30,run4,1650489647,CCSM4_RCP85,RCP85,Resistance
30,run5,1649629840,CCSM4_RCP85,RCP85,Resistance
40,run1,1697737274,CCSM4_RCP85,RCP85,Resistance
40,run2,1698447495,CCSM4_RCP85,RCP85,Resistance
40,run3,1699432938,CCSM4_RCP85,RCP85,Resistance
40,run4,1698709268,CCSM4_RCP85,RCP85,Resistance
40,run5,1697878833,CCSM4_RCP85,RCP85,Resistance
50,run1,1874914927,CCSM4_RCP85,RCP85,Resistance
50,run2,1875767188,CCSM4_RCP85,RCP85,Resistance
50,run3,1876507236,CCSM4_RCP85,RCP85,Resistance
50,run4,1876029464,CCSM4_RCP85,RCP85,Resistance
50,run5,1875460007,CCSM4_RCP85,RCP85,Resistance
60,run1,2042140431,CCSM4_RCP85,RCP85,Resistance
60,run2,2042277793,CCSM4_RCP85,RCP85,Resistance
60,run3,2043657176,CCSM4_RCP85,RCP85,Resistance
60,run4,2046920910,CCSM4_RCP85,RCP85,Resistance
60,run5,2042375168,CCSM4_RCP85,RCP85,Resistance
70,run1,2018058178,CCSM4_RCP85,RCP85,Resistance
70,run2,2016525556,CCSM4_RCP85,RCP85,Resistance
70,run3,2019237172,CCSM4_RCP85,RCP85,Resistance
70,run4,2020062593,CCSM4_RCP85,RCP85,Resistance
70,run5,2017588317,CCSM4_RCP85,RCP85,Resistance
80,run1,2117659740,CCSM4_RCP85,RCP85,Resistance
80,run2,2115614536,CCSM4_RCP85,RCP85,Resistance
80,run3,2123755007,CCSM4_RCP85,RCP85,Resistance
80,run4,2125703561,CCSM4_RCP85,RCP85,Resistance
80,run5,2118894939,CCSM4_RCP85,RCP85,Resistance
