Time,Run,Score
0,run1,1129923770.22222
0,run2,1129923770.22222
0,run3,1129923770.22222
0,run4,1129923770.22222
0,run5,1129923770.22222
10,run1,1316373466.83333
10,run2,1316624239.11111
10,run3,1316629503.77778
10,run4,1316431449.66667
10,run5,1316500886.66667
20,run1,1541649629.94444
20,run2,1542300580.44444
20,run3,1542173137.44444
20,run4,1542069273.16667
20,run5,1542227780.11111
30,run1,1708570429.33333
30,run2,1708689949
30,run3,1709097234.55556
30,run4,1709509212.22222
30,run5,1706830972.55556
40,run1,1838688728.79444
40,run2,1833371569.13333
40,run3,1838905037.52778
40,run4,1835039152.41667
40,run5,1836567370.62778
50,run1,2051999984.05
50,run2,2047550792.38889
50,run3,2053593938.93889
50,run4,2049013372.67778
50,run5,2050947313.49445
60,run1,2210820269.54444
60,run2,2207512245.58889
60,run3,2213826316.12778
60,run4,2208586735.58889
60,run5,2210151639.77778
70,run1,2330352254.15
70,run2,2328309567.36667
70,run3,2331799499.01667
70,run4,2313662806.88333
70,run5,2330707968.8
80,run1,2518114524.16111
80,run2,2507005405.96111
80,run3,2514666178.02222
80,run4,2492407232.21111
80,run5,2508867700.57778
