Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Transition
0,run2,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Transition
0,run3,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Transition
0,run4,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Transition
0,run5,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run1,1047658342,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run2,1048057481,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run3,1047343314,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run4,1047673000,MIROC-ESM-CHEM_RCP45,RCP45,Transition
10,run5,1047426388,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run1,1082858465,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run2,1085213301,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run3,1083674967,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run4,1085786311,MIROC-ESM-CHEM_RCP45,RCP45,Transition
20,run5,1085328254,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run1,1244565166,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run2,1244601260,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run3,1248508283,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run4,1248874919,MIROC-ESM-CHEM_RCP45,RCP45,Transition
30,run5,1243688880,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run1,1413217821,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run2,1419868542,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run3,1417867026,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run4,1423394370,MIROC-ESM-CHEM_RCP45,RCP45,Transition
40,run5,1422136963,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run1,1713310683,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run2,1720096923,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run3,1718315091,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run4,1721380536,MIROC-ESM-CHEM_RCP45,RCP45,Transition
50,run5,1717760594,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run1,2123079197,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run2,2131578707,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run3,2128841688,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run4,2132376190,MIROC-ESM-CHEM_RCP45,RCP45,Transition
60,run5,2128823674,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run1,2622114801,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run2,2627219845,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run3,2623436754,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run4,2625635330,MIROC-ESM-CHEM_RCP45,RCP45,Transition
70,run5,2624439291,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run1,3251616675,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run2,3256459924,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run3,3252640885,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run4,3255054122,MIROC-ESM-CHEM_RCP45,RCP45,Transition
80,run5,3254797158,MIROC-ESM-CHEM_RCP45,RCP45,Transition
