Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
0,run2,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
0,run3,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
0,run4,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
0,run5,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
10,run1,1237141453,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
10,run2,1237081573,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
10,run3,1237149827,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
10,run4,1237060668,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
10,run5,1237112105,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
20,run1,1625716444,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
20,run2,1625692727,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
20,run3,1625790198,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
20,run4,1625566474,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
20,run5,1625674608,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
30,run1,1676695428,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
30,run2,1676101284,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
30,run3,1677308847,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
30,run4,1674743029,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
30,run5,1675253694,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
40,run1,1652953847,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
40,run2,1654288844,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
40,run3,1652365326,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
40,run4,1652646544,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
40,run5,1652229267,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
50,run1,1796627446,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
50,run2,1797925637,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
50,run3,1796273595,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
50,run4,1796769828,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
50,run5,1796827954,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
60,run1,1892902594,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
60,run2,1895842699,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
60,run3,1892006087,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
60,run4,1890549237,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
60,run5,1893807279,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
70,run1,1820114144,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
70,run2,1819468027,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
70,run3,1817796489,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
70,run4,1815574343,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
70,run5,1812923416,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
80,run1,1655501078,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
80,run2,1663373889,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
80,run3,1656233484,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
80,run4,1657335052,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
80,run5,1651239213,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
