Time,Run,Score
0,run1,1129923770.22222
0,run2,1129923770.22222
0,run3,1129923770.22222
0,run4,1129923770.22222
0,run5,1129923770.22222
10,run1,1062997913.05556
10,run2,1063240765.44444
10,run3,1063227401.16667
10,run4,1062978753.11111
10,run5,1063228182.83333
20,run1,1329338620.83333
20,run2,1331499083.27778
20,run3,1331389437.27778
20,run4,1331179801.22222
20,run5,1331646806.5
30,run1,1606196973.5
30,run2,1610565228.61111
30,run3,1608352264.38889
30,run4,1610412386
30,run5,1610270658.27778
40,run1,1766212764.82778
40,run2,1768579680.01667
40,run3,1765873918.40556
40,run4,1768807543.36111
40,run5,1765954126.62778
50,run1,2048156769.97778
50,run2,2048824363.24444
50,run3,2044906983.35556
50,run4,2052257623.64444
50,run5,2057861314.91667
60,run1,2278765887.15
60,run2,2284972688.93889
60,run3,2276938188.89444
60,run4,2288327215.3
60,run5,2291719752.13889
70,run1,2621500047.93889
70,run2,2628238078.51111
70,run3,2616855416.10556
70,run4,2632331647.31667
70,run5,2633743606.76111
80,run1,2611835346.97778
80,run2,2617834177.29444
80,run3,2608301899.22222
80,run4,2620710770.78889
80,run5,2615743228.89444
