Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,MRI-CGCM3_RCP45,RCP45,Resistance
0,run2,1129923770,MRI-CGCM3_RCP45,RCP45,Resistance
0,run3,1129923770,MRI-CGCM3_RCP45,RCP45,Resistance
0,run4,1129923770,MRI-CGCM3_RCP45,RCP45,Resistance
0,run5,1129923770,MRI-CGCM3_RCP45,RCP45,Resistance
10,run1,1069857548,MRI-CGCM3_RCP45,RCP45,Resistance
10,run2,1069913158,MRI-CGCM3_RCP45,RCP45,Resistance
10,run3,1069880919,MRI-CGCM3_RCP45,RCP45,Resistance
10,run4,1069987998,MRI-CGCM3_RCP45,RCP45,Resistance
10,run5,1069836896,MRI-CGCM3_RCP45,RCP45,Resistance
20,run1,1342382104,MRI-CGCM3_RCP45,RCP45,Resistance
20,run2,1342305186,MRI-CGCM3_RCP45,RCP45,Resistance
20,run3,1341914206,MRI-CGCM3_RCP45,RCP45,Resistance
20,run4,1342197364,MRI-CGCM3_RCP45,RCP45,Resistance
20,run5,1341867675,MRI-CGCM3_RCP45,RCP45,Resistance
30,run1,1518912978,MRI-CGCM3_RCP45,RCP45,Resistance
30,run2,1519929212,MRI-CGCM3_RCP45,RCP45,Resistance
30,run3,1518062725,MRI-CGCM3_RCP45,RCP45,Resistance
30,run4,1520537503,MRI-CGCM3_RCP45,RCP45,Resistance
30,run5,1518838129,MRI-CGCM3_RCP45,RCP45,Resistance
40,run1,1754542319,MRI-CGCM3_RCP45,RCP45,Resistance
40,run2,1751563909,MRI-CGCM3_RCP45,RCP45,Resistance
40,run3,1752886754,MRI-CGCM3_RCP45,RCP45,Resistance
40,run4,1755728723,MRI-CGCM3_RCP45,RCP45,Resistance
40,run5,1750513052,MRI-CGCM3_RCP45,RCP45,Resistance
50,run1,2113823212,MRI-CGCM3_RCP45,RCP45,Resistance
50,run2,2110507644,MRI-CGCM3_RCP45,RCP45,Resistance
50,run3,2112275272,MRI-CGCM3_RCP45,RCP45,Resistance
50,run4,2115643814,MRI-CGCM3_RCP45,RCP45,Resistance
50,run5,2109805492,MRI-CGCM3_RCP45,RCP45,Resistance
60,run1,2219709198,MRI-CGCM3_RCP45,RCP45,Resistance
60,run2,2214638304,MRI-CGCM3_RCP45,RCP45,Resistance
60,run3,2216637861,MRI-CGCM3_RCP45,RCP45,Resistance
60,run4,2220609195,MRI-CGCM3_RCP45,RCP45,Resistance
60,run5,2213514519,MRI-CGCM3_RCP45,RCP45,Resistance
70,run1,2368478817,MRI-CGCM3_RCP45,RCP45,Resistance
70,run2,2365527335,MRI-CGCM3_RCP45,RCP45,Resistance
70,run3,2365958093,MRI-CGCM3_RCP45,RCP45,Resistance
70,run4,2371153377,MRI-CGCM3_RCP45,RCP45,Resistance
70,run5,2363109254,MRI-CGCM3_RCP45,RCP45,Resistance
80,run1,2481071438,MRI-CGCM3_RCP45,RCP45,Resistance
80,run2,2476409870,MRI-CGCM3_RCP45,RCP45,Resistance
80,run3,2475137390,MRI-CGCM3_RCP45,RCP45,Resistance
80,run4,2480206991,MRI-CGCM3_RCP45,RCP45,Resistance
80,run5,2476189852,MRI-CGCM3_RCP45,RCP45,Resistance
