Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,MRI-CGCM3_RCP45,RCP45,Transition
0,run2,1129923770,MRI-CGCM3_RCP45,RCP45,Transition
0,run3,1129923770,MRI-CGCM3_RCP45,RCP45,Transition
0,run4,1129923770,MRI-CGCM3_RCP45,RCP45,Transition
0,run5,1129923770,MRI-CGCM3_RCP45,RCP45,Transition
10,run1,826384381.5,MRI-CGCM3_RCP45,RCP45,Transition
10,run2,826207834,MRI-CGCM3_RCP45,RCP45,Transition
10,run3,827208949.5,MRI-CGCM3_RCP45,RCP45,Transition
10,run4,826820893.8,MRI-CGCM3_RCP45,RCP45,Transition
10,run5,827993240,MRI-CGCM3_RCP45,RCP45,Transition
20,run1,935631016.9,MRI-CGCM3_RCP45,RCP45,Transition
20,run2,934122138.8,MRI-CGCM3_RCP45,RCP45,Transition
20,run3,935146313.2,MRI-CGCM3_RCP45,RCP45,Transition
20,run4,936664434.9,MRI-CGCM3_RCP45,RCP45,Transition
20,run5,935181650.9,MRI-CGCM3_RCP45,RCP45,Transition
30,run1,1101395621,MRI-CGCM3_RCP45,RCP45,Transition
30,run2,1099469462,MRI-CGCM3_RCP45,RCP45,Transition
30,run3,1098158413,MRI-CGCM3_RCP45,RCP45,Transition
30,run4,1103535598,MRI-CGCM3_RCP45,RCP45,Transition
30,run5,1102480193,MRI-CGCM3_RCP45,RCP45,Transition
40,run1,1371413309,MRI-CGCM3_RCP45,RCP45,Transition
40,run2,1365532912,MRI-CGCM3_RCP45,RCP45,Transition
40,run3,1367156691,MRI-CGCM3_RCP45,RCP45,Transition
40,run4,1372072687,MRI-CGCM3_RCP45,RCP45,Transition
40,run5,1374687853,MRI-CGCM3_RCP45,RCP45,Transition
50,run1,1798790272,MRI-CGCM3_RCP45,RCP45,Transition
50,run2,1795033295,MRI-CGCM3_RCP45,RCP45,Transition
50,run3,1793486637,MRI-CGCM3_RCP45,RCP45,Transition
50,run4,1800814271,MRI-CGCM3_RCP45,RCP45,Transition
50,run5,1800717043,MRI-CGCM3_RCP45,RCP45,Transition
60,run1,2116413177,MRI-CGCM3_RCP45,RCP45,Transition
60,run2,2111462881,MRI-CGCM3_RCP45,RCP45,Transition
60,run3,2110284789,MRI-CGCM3_RCP45,RCP45,Transition
60,run4,2117291061,MRI-CGCM3_RCP45,RCP45,Transition
60,run5,2119550502,MRI-CGCM3_RCP45,RCP45,Transition
70,run1,2619285629,MRI-CGCM3_RCP45,RCP45,Transition
70,run2,2617607110,MRI-CGCM3_RCP45,RCP45,Transition
70,run3,2615058795,MRI-CGCM3_RCP45,RCP45,Transition
70,run4,2619255724,MRI-CGCM3_RCP45,RCP45,Transition
70,run5,2621961165,MRI-CGCM3_RCP45,RCP45,Transition
80,run1,3121191225,MRI-CGCM3_RCP45,RCP45,Transition
80,run2,3118890505,MRI-CGCM3_RCP45,RCP45,Transition
80,run3,3115504354,MRI-CGCM3_RCP45,RCP45,Transition
80,run4,3120605739,MRI-CGCM3_RCP45,RCP45,Transition
80,run5,3124917303,MRI-CGCM3_RCP45,RCP45,Transition
