Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,MRI-CGCM3_RCP85,RCP85,Resilience
0,run2,1129923770,MRI-CGCM3_RCP85,RCP85,Resilience
0,run3,1129923770,MRI-CGCM3_RCP85,RCP85,Resilience
0,run4,1129923770,MRI-CGCM3_RCP85,RCP85,Resilience
0,run5,1129923770,MRI-CGCM3_RCP85,RCP85,Resilience
10,run1,1258102398,MRI-CGCM3_RCP85,RCP85,Resilience
10,run2,1258176935,MRI-CGCM3_RCP85,RCP85,Resilience
10,run3,1258043959,MRI-CGCM3_RCP85,RCP85,Resilience
10,run4,1258042243,MRI-CGCM3_RCP85,RCP85,Resilience
10,run5,1258024931,MRI-CGCM3_RCP85,RCP85,Resilience
20,run1,1664546748,MRI-CGCM3_RCP85,RCP85,Resilience
20,run2,1662514873,MRI-CGCM3_RCP85,RCP85,Resilience
20,run3,1665235345,MRI-CGCM3_RCP85,RCP85,Resilience
20,run4,1662370484,MRI-CGCM3_RCP85,RCP85,Resilience
20,run5,1665453438,MRI-CGCM3_RCP85,RCP85,Resilience
30,run1,2021846568,MRI-CGCM3_RCP85,RCP85,Resilience
30,run2,2017947861,MRI-CGCM3_RCP85,RCP85,Resilience
30,run3,2020277398,MRI-CGCM3_RCP85,RCP85,Resilience
30,run4,2015205224,MRI-CGCM3_RCP85,RCP85,Resilience
30,run5,2022936257,MRI-CGCM3_RCP85,RCP85,Resilience
40,run1,1996933700,MRI-CGCM3_RCP85,RCP85,Resilience
40,run2,1994352346,MRI-CGCM3_RCP85,RCP85,Resilience
40,run3,1997315122,MRI-CGCM3_RCP85,RCP85,Resilience
40,run4,1991004644,MRI-CGCM3_RCP85,RCP85,Resilience
40,run5,1996732005,MRI-CGCM3_RCP85,RCP85,Resilience
50,run1,2203691716,MRI-CGCM3_RCP85,RCP85,Resilience
50,run2,2207101650,MRI-CGCM3_RCP85,RCP85,Resilience
50,run3,2199385934,MRI-CGCM3_RCP85,RCP85,Resilience
50,run4,2203139534,MRI-CGCM3_RCP85,RCP85,Resilience
50,run5,2201686566,MRI-CGCM3_RCP85,RCP85,Resilience
60,run1,2452292883,MRI-CGCM3_RCP85,RCP85,Resilience
60,run2,2458705430,MRI-CGCM3_RCP85,RCP85,Resilience
60,run3,2454011332,MRI-CGCM3_RCP85,RCP85,Resilience
60,run4,2451540835,MRI-CGCM3_RCP85,RCP85,Resilience
60,run5,2459699498,MRI-CGCM3_RCP85,RCP85,Resilience
70,run1,2707014816,MRI-CGCM3_RCP85,RCP85,Resilience
70,run2,2707497536,MRI-CGCM3_RCP85,RCP85,Resilience
70,run3,2712380386,MRI-CGCM3_RCP85,RCP85,Resilience
70,run4,2703057296,MRI-CGCM3_RCP85,RCP85,Resilience
70,run5,2719195905,MRI-CGCM3_RCP85,RCP85,Resilience
80,run1,2591937555,MRI-CGCM3_RCP85,RCP85,Resilience
80,run2,2590826177,MRI-CGCM3_RCP85,RCP85,Resilience
80,run3,2598612144,MRI-CGCM3_RCP85,RCP85,Resilience
80,run4,2584455731,MRI-CGCM3_RCP85,RCP85,Resilience
80,run5,2602251810,MRI-CGCM3_RCP85,RCP85,Resilience
