Time,Run,Score
0,run1,1129923770.22222
0,run2,1129923770.22222
0,run3,1129923770.22222
0,run4,1129923770.22222
0,run5,1129923770.22222
10,run1,1265790779.61111
10,run2,1265782101.88889
10,run3,1265788402.22222
10,run4,1265906023.22222
10,run5,1265813316.16667
20,run1,1677640504.38889
20,run2,1678352449.66667
20,run3,1678168798.27778
20,run4,1677829866.38889
20,run5,1678227564.83333
30,run1,1911099410.44444
30,run2,1909191795.94444
30,run3,1910601400.27778
30,run4,1909769790.72222
30,run5,1907702843.44444
40,run1,1983946176.16111
40,run2,1982157876.89444
40,run3,1981473141.72222
40,run4,1978061948.51667
40,run5,1981803172.15556
50,run1,2273407790.88333
50,run2,2271252854.07778
50,run3,2270250643.58333
50,run4,2268076202.43889
50,run5,2270444140.4
60,run1,2383810164.54444
60,run2,2381282636.06111
60,run3,2388804683.59444
60,run4,2379342994.34444
60,run5,2384427247.32778
70,run1,2432695088.5
70,run2,2434604438.88333
70,run3,2444199399.59444
70,run4,2434650763.74444
70,run5,2432958477.5
80,run1,2442031965.68889
80,run2,2442481334.33333
80,run3,2446370836.86111
80,run4,2434609945.43889
80,run5,2440991880.99444
