Time,Run,Score
0,run1,1129923770.22222
0,run2,1129923770.22222
0,run3,1129923770.22222
0,run4,1129923770.22222
0,run5,1129923770.22222
10,run1,1002974445.05556
10,run2,1002977870.5
10,run3,1002805887.22222
10,run4,1002285114.83333
10,run5,1003043233.33333
20,run1,1214717892.33333
20,run2,1215545307.44444
20,run3,1214540546.44444
20,run4,1215498463.22222
20,run5,1214878238.55556
30,run1,1442922113.27778
30,run2,1439094778.88889
30,run3,1438756744.83333
30,run4,1440669760.83333
30,run5,1442058158.33333
40,run1,1559744801.11111
40,run2,1563556216.8
40,run3,1559227916.93333
40,run4,1556462303.38889
40,run5,1560444206.03889
50,run1,1957625825.49444
50,run2,1952856800.53889
50,run3,1953034840.47222
50,run4,1951354176.88333
50,run5,1953580680.66111
60,run1,2338004007.66111
60,run2,2336639004.68333
60,run3,2332641814.95556
60,run4,2334435537.04444
60,run5,2333717661.07222
70,run1,2770797512.12222
70,run2,2770951544.43333
70,run3,2769559727.87222
70,run4,2768777830.14445
70,run5,2769156713.43889
80,run1,3152236195.54445
80,run2,3152584131.78889
80,run3,3149820522.61111
80,run4,3149712690.65
80,run5,3150027156.6
