Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,BNU-ESM_RCP45,RCP45,Resistance
run1,10,1.676226948,BNU-ESM_RCP45,RCP45,Resistance
run1,20,1.656277035,BNU-ESM_RCP45,RCP45,Resistance
run1,30,1.601000639,BNU-ESM_RCP45,RCP45,Resistance
run1,40,1.569342523,BNU-ESM_RCP45,RCP45,Resistance
run1,50,1.626778105,BNU-ESM_RCP45,RCP45,Resistance
run1,60,1.606045994,BNU-ESM_RCP45,RCP45,Resistance
run1,70,1.587129594,BNU-ESM_RCP45,RCP45,Resistance
run1,80,1.567711378,BNU-ESM_RCP45,RCP45,Resistance
run2,0,1.707320638,BNU-ESM_RCP45,RCP45,Resistance
run2,10,1.676200024,BNU-ESM_RCP45,RCP45,Resistance
run2,20,1.656312605,BNU-ESM_RCP45,RCP45,Resistance
run2,30,1.60089414,BNU-ESM_RCP45,RCP45,Resistance
run2,40,1.570470605,BNU-ESM_RCP45,RCP45,Resistance
run2,50,1.627891154,BNU-ESM_RCP45,RCP45,Resistance
run2,60,1.605155097,BNU-ESM_RCP45,RCP45,Resistance
run2,70,1.586766857,BNU-ESM_RCP45,RCP45,Resistance
run2,80,1.568008677,BNU-ESM_RCP45,RCP45,Resistance
run3,0,1.707320638,BNU-ESM_RCP45,RCP45,Resistance
run3,10,1.675958469,BNU-ESM_RCP45,RCP45,Resistance
run3,20,1.656146231,BNU-ESM_RCP45,RCP45,Resistance
run3,30,1.601000054,BNU-ESM_RCP45,RCP45,Resistance
run3,40,1.569990483,BNU-ESM_RCP45,RCP45,Resistance
run3,50,1.627488459,BNU-ESM_RCP45,RCP45,Resistance
run3,60,1.606155957,BNU-ESM_RCP45,RCP45,Resistance
run3,70,1.587542717,BNU-ESM_RCP45,RCP45,Resistance
run3,80,1.568137399,BNU-ESM_RCP45,RCP45,Resistance
run4,0,1.707320638,BNU-ESM_RCP45,RCP45,Resistance
run4,10,1.676112148,BNU-ESM_RCP45,RCP45,Resistance
run4,20,1.656206606,BNU-ESM_RCP45,RCP45,Resistance
run4,30,1.600678355,BNU-ESM_RCP45,RCP45,Resistance
run4,40,1.569261481,BNU-ESM_RCP45,RCP45,Resistance
run4,50,1.626837012,BNU-ESM_RCP45,RCP45,Resistance
run4,60,1.605984858,BNU-ESM_RCP45,RCP45,Resistance
run4,70,1.58738892,BNU-ESM_RCP45,RCP45,Resistance
run4,80,1.568228455,BNU-ESM_RCP45,RCP45,Resistance
run5,0,1.707320638,BNU-ESM_RCP45,RCP45,Resistance
run5,10,1.676002541,BNU-ESM_RCP45,RCP45,Resistance
run5,20,1.655990411,BNU-ESM_RCP45,RCP45,Resistance
run5,30,1.600664839,BNU-ESM_RCP45,RCP45,Resistance
run5,40,1.568152086,BNU-ESM_RCP45,RCP45,Resistance
run5,50,1.625484213,BNU-ESM_RCP45,RCP45,Resistance
run5,60,1.603341269,BNU-ESM_RCP45,RCP45,Resistance
run5,70,1.584200442,BNU-ESM_RCP45,RCP45,Resistance
run5,80,1.565280892,BNU-ESM_RCP45,RCP45,Resistance
