Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,BNU-ESM_RCP45,RCP45,Transition
run1,10,1.667676005,BNU-ESM_RCP45,RCP45,Transition
run1,20,1.640134918,BNU-ESM_RCP45,RCP45,Transition
run1,30,1.615052445,BNU-ESM_RCP45,RCP45,Transition
run1,40,1.606902361,BNU-ESM_RCP45,RCP45,Transition
run1,50,1.622963978,BNU-ESM_RCP45,RCP45,Transition
run1,60,1.658385941,BNU-ESM_RCP45,RCP45,Transition
run1,70,1.708075663,BNU-ESM_RCP45,RCP45,Transition
run1,80,1.762224812,BNU-ESM_RCP45,RCP45,Transition
run2,0,1.707320638,BNU-ESM_RCP45,RCP45,Transition
run2,10,1.665976718,BNU-ESM_RCP45,RCP45,Transition
run2,20,1.640364975,BNU-ESM_RCP45,RCP45,Transition
run2,30,1.614698142,BNU-ESM_RCP45,RCP45,Transition
run2,40,1.603967303,BNU-ESM_RCP45,RCP45,Transition
run2,50,1.621345856,BNU-ESM_RCP45,RCP45,Transition
run2,60,1.657999531,BNU-ESM_RCP45,RCP45,Transition
run2,70,1.707869114,BNU-ESM_RCP45,RCP45,Transition
run2,80,1.762335307,BNU-ESM_RCP45,RCP45,Transition
run3,0,1.707320638,BNU-ESM_RCP45,RCP45,Transition
run3,10,1.667184265,BNU-ESM_RCP45,RCP45,Transition
run3,20,1.640337367,BNU-ESM_RCP45,RCP45,Transition
run3,30,1.615035567,BNU-ESM_RCP45,RCP45,Transition
run3,40,1.604560567,BNU-ESM_RCP45,RCP45,Transition
run3,50,1.621473093,BNU-ESM_RCP45,RCP45,Transition
run3,60,1.657568802,BNU-ESM_RCP45,RCP45,Transition
run3,70,1.707517095,BNU-ESM_RCP45,RCP45,Transition
run3,80,1.761924152,BNU-ESM_RCP45,RCP45,Transition
run4,0,1.707320638,BNU-ESM_RCP45,RCP45,Transition
run4,10,1.666905514,BNU-ESM_RCP45,RCP45,Transition
run4,20,1.640178763,BNU-ESM_RCP45,RCP45,Transition
run4,30,1.615008758,BNU-ESM_RCP45,RCP45,Transition
run4,40,1.603198443,BNU-ESM_RCP45,RCP45,Transition
run4,50,1.619138342,BNU-ESM_RCP45,RCP45,Transition
run4,60,1.656139363,BNU-ESM_RCP45,RCP45,Transition
run4,70,1.707716222,BNU-ESM_RCP45,RCP45,Transition
run4,80,1.761888806,BNU-ESM_RCP45,RCP45,Transition
run5,0,1.707320638,BNU-ESM_RCP45,RCP45,Transition
run5,10,1.665952898,BNU-ESM_RCP45,RCP45,Transition
run5,20,1.640380622,BNU-ESM_RCP45,RCP45,Transition
run5,30,1.613376782,BNU-ESM_RCP45,RCP45,Transition
run5,40,1.603283132,BNU-ESM_RCP45,RCP45,Transition
run5,50,1.619435001,BNU-ESM_RCP45,RCP45,Transition
run5,60,1.655504868,BNU-ESM_RCP45,RCP45,Transition
run5,70,1.704995271,BNU-ESM_RCP45,RCP45,Transition
run5,80,1.759499685,BNU-ESM_RCP45,RCP45,Transition
