Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,BNU-ESM_RCP85,RCP85,Resilience
run1,10,1.687293095,BNU-ESM_RCP85,RCP85,Resilience
run1,20,1.674899079,BNU-ESM_RCP85,RCP85,Resilience
run1,30,1.653727703,BNU-ESM_RCP85,RCP85,Resilience
run1,40,1.5745676,BNU-ESM_RCP85,RCP85,Resilience
run1,50,1.592751277,BNU-ESM_RCP85,RCP85,Resilience
run1,60,1.588802845,BNU-ESM_RCP85,RCP85,Resilience
run1,70,1.581039143,BNU-ESM_RCP85,RCP85,Resilience
run1,80,1.462722185,BNU-ESM_RCP85,RCP85,Resilience
run2,0,1.707320638,BNU-ESM_RCP85,RCP85,Resilience
run2,10,1.687462217,BNU-ESM_RCP85,RCP85,Resilience
run2,20,1.675065066,BNU-ESM_RCP85,RCP85,Resilience
run2,30,1.654086788,BNU-ESM_RCP85,RCP85,Resilience
run2,40,1.574902239,BNU-ESM_RCP85,RCP85,Resilience
run2,50,1.593864639,BNU-ESM_RCP85,RCP85,Resilience
run2,60,1.58971357,BNU-ESM_RCP85,RCP85,Resilience
run2,70,1.58188167,BNU-ESM_RCP85,RCP85,Resilience
run2,80,1.46277319,BNU-ESM_RCP85,RCP85,Resilience
run3,0,1.707320638,BNU-ESM_RCP85,RCP85,Resilience
run3,10,1.687355415,BNU-ESM_RCP85,RCP85,Resilience
run3,20,1.674257783,BNU-ESM_RCP85,RCP85,Resilience
run3,30,1.653390172,BNU-ESM_RCP85,RCP85,Resilience
run3,40,1.574035895,BNU-ESM_RCP85,RCP85,Resilience
run3,50,1.592569268,BNU-ESM_RCP85,RCP85,Resilience
run3,60,1.589135105,BNU-ESM_RCP85,RCP85,Resilience
run3,70,1.58122036,BNU-ESM_RCP85,RCP85,Resilience
run3,80,1.462044801,BNU-ESM_RCP85,RCP85,Resilience
run4,0,1.707320638,BNU-ESM_RCP85,RCP85,Resilience
run4,10,1.687377554,BNU-ESM_RCP85,RCP85,Resilience
run4,20,1.67509764,BNU-ESM_RCP85,RCP85,Resilience
run4,30,1.65374109,BNU-ESM_RCP85,RCP85,Resilience
run4,40,1.574720509,BNU-ESM_RCP85,RCP85,Resilience
run4,50,1.593342743,BNU-ESM_RCP85,RCP85,Resilience
run4,60,1.58894933,BNU-ESM_RCP85,RCP85,Resilience
run4,70,1.581278035,BNU-ESM_RCP85,RCP85,Resilience
run4,80,1.463308913,BNU-ESM_RCP85,RCP85,Resilience
run5,0,1.707320638,BNU-ESM_RCP85,RCP85,Resilience
run5,10,1.687261578,BNU-ESM_RCP85,RCP85,Resilience
run5,20,1.674024757,BNU-ESM_RCP85,RCP85,Resilience
run5,30,1.652987012,BNU-ESM_RCP85,RCP85,Resilience
run5,40,1.57374928,BNU-ESM_RCP85,RCP85,Resilience
run5,50,1.592149227,BNU-ESM_RCP85,RCP85,Resilience
run5,60,1.587397397,BNU-ESM_RCP85,RCP85,Resilience
run5,70,1.579172027,BNU-ESM_RCP85,RCP85,Resilience
run5,80,1.460862825,BNU-ESM_RCP85,RCP85,Resilience
