Time,Run,H,Model,RCP,Prescription
0,run1,787044.0974,BNU-ESM_RCP85,RCP85,Resistance
0,run2,787044.0974,BNU-ESM_RCP85,RCP85,Resistance
0,run3,787044.0974,BNU-ESM_RCP85,RCP85,Resistance
0,run4,787044.0974,BNU-ESM_RCP85,RCP85,Resistance
0,run5,787044.0974,BNU-ESM_RCP85,RCP85,Resistance
10,run1,797685.0483,BNU-ESM_RCP85,RCP85,Resistance
10,run2,797661.6796,BNU-ESM_RCP85,RCP85,Resistance
10,run3,797637.6328,BNU-ESM_RCP85,RCP85,Resistance
10,run4,797681.2756,BNU-ESM_RCP85,RCP85,Resistance
10,run5,797638.1423,BNU-ESM_RCP85,RCP85,Resistance
20,run1,781049.4014,BNU-ESM_RCP85,RCP85,Resistance
20,run2,781018.2452,BNU-ESM_RCP85,RCP85,Resistance
20,run3,781024.9906,BNU-ESM_RCP85,RCP85,Resistance
20,run4,781019.8981,BNU-ESM_RCP85,RCP85,Resistance
20,run5,780957.9005,BNU-ESM_RCP85,RCP85,Resistance
30,run1,742449.3908,BNU-ESM_RCP85,RCP85,Resistance
30,run2,742114.529,BNU-ESM_RCP85,RCP85,Resistance
30,run3,742215.9798,BNU-ESM_RCP85,RCP85,Resistance
30,run4,742106.0148,BNU-ESM_RCP85,RCP85,Resistance
30,run5,742103.2763,BNU-ESM_RCP85,RCP85,Resistance
40,run1,701087.2786,BNU-ESM_RCP85,RCP85,Resistance
40,run2,701584.5502,BNU-ESM_RCP85,RCP85,Resistance
40,run3,701637.7663,BNU-ESM_RCP85,RCP85,Resistance
40,run4,701040.8523,BNU-ESM_RCP85,RCP85,Resistance
40,run5,700443.6836,BNU-ESM_RCP85,RCP85,Resistance
50,run1,715165.7869,BNU-ESM_RCP85,RCP85,Resistance
50,run2,715772.6419,BNU-ESM_RCP85,RCP85,Resistance
50,run3,715663.2422,BNU-ESM_RCP85,RCP85,Resistance
50,run4,715249.2009,BNU-ESM_RCP85,RCP85,Resistance
50,run5,714496.6632,BNU-ESM_RCP85,RCP85,Resistance
60,run1,699133.6258,BNU-ESM_RCP85,RCP85,Resistance
60,run2,698804.4853,BNU-ESM_RCP85,RCP85,Resistance
60,run3,699276.2155,BNU-ESM_RCP85,RCP85,Resistance
60,run4,699114.2903,BNU-ESM_RCP85,RCP85,Resistance
60,run5,697885.0104,BNU-ESM_RCP85,RCP85,Resistance
70,run1,679764.1626,BNU-ESM_RCP85,RCP85,Resistance
70,run2,679345.7676,BNU-ESM_RCP85,RCP85,Resistance
70,run3,679619.1035,BNU-ESM_RCP85,RCP85,Resistance
70,run4,679843.5574,BNU-ESM_RCP85,RCP85,Resistance
70,run5,678223.0608,BNU-ESM_RCP85,RCP85,Resistance
80,run1,665351.4741,BNU-ESM_RCP85,RCP85,Resistance
80,run2,665452.5655,BNU-ESM_RCP85,RCP85,Resistance
80,run3,665358.7973,BNU-ESM_RCP85,RCP85,Resistance
80,run4,665917.3539,BNU-ESM_RCP85,RCP85,Resistance
80,run5,664530.804,BNU-ESM_RCP85,RCP85,Resistance
