Time,Run,H,Model,RCP,Prescription
0,run1,787044.0974,BNU-ESM_RCP85,RCP85,Transition
0,run2,787044.0974,BNU-ESM_RCP85,RCP85,Transition
0,run3,787044.0974,BNU-ESM_RCP85,RCP85,Transition
0,run4,787044.0974,BNU-ESM_RCP85,RCP85,Transition
0,run5,787044.0974,BNU-ESM_RCP85,RCP85,Transition
10,run1,810626.3385,BNU-ESM_RCP85,RCP85,Transition
10,run2,810511.2248,BNU-ESM_RCP85,RCP85,Transition
10,run3,810670.3209,BNU-ESM_RCP85,RCP85,Transition
10,run4,811105.1646,BNU-ESM_RCP85,RCP85,Transition
10,run5,810029.0383,BNU-ESM_RCP85,RCP85,Transition
20,run1,798405.988,BNU-ESM_RCP85,RCP85,Transition
20,run2,798441.6813,BNU-ESM_RCP85,RCP85,Transition
20,run3,798481.543,BNU-ESM_RCP85,RCP85,Transition
20,run4,798443.5715,BNU-ESM_RCP85,RCP85,Transition
20,run5,797862.3591,BNU-ESM_RCP85,RCP85,Transition
30,run1,776885.6012,BNU-ESM_RCP85,RCP85,Transition
30,run2,776882.7237,BNU-ESM_RCP85,RCP85,Transition
30,run3,777220.899,BNU-ESM_RCP85,RCP85,Transition
30,run4,776562.7176,BNU-ESM_RCP85,RCP85,Transition
30,run5,776168.3097,BNU-ESM_RCP85,RCP85,Transition
40,run1,749418.9198,BNU-ESM_RCP85,RCP85,Transition
40,run2,749015.3429,BNU-ESM_RCP85,RCP85,Transition
40,run3,749386.4539,BNU-ESM_RCP85,RCP85,Transition
40,run4,748886.7077,BNU-ESM_RCP85,RCP85,Transition
40,run5,748624.382,BNU-ESM_RCP85,RCP85,Transition
50,run1,745013.2985,BNU-ESM_RCP85,RCP85,Transition
50,run2,745720.6179,BNU-ESM_RCP85,RCP85,Transition
50,run3,746085.3214,BNU-ESM_RCP85,RCP85,Transition
50,run4,745821.7585,BNU-ESM_RCP85,RCP85,Transition
50,run5,746346.0258,BNU-ESM_RCP85,RCP85,Transition
60,run1,732552.0588,BNU-ESM_RCP85,RCP85,Transition
60,run2,733497.282,BNU-ESM_RCP85,RCP85,Transition
60,run3,733592.3917,BNU-ESM_RCP85,RCP85,Transition
60,run4,733829.2031,BNU-ESM_RCP85,RCP85,Transition
60,run5,735200.3799,BNU-ESM_RCP85,RCP85,Transition
70,run1,729074.5567,BNU-ESM_RCP85,RCP85,Transition
70,run2,729227.1969,BNU-ESM_RCP85,RCP85,Transition
70,run3,728286.8893,BNU-ESM_RCP85,RCP85,Transition
70,run4,729642.7412,BNU-ESM_RCP85,RCP85,Transition
70,run5,730524.9344,BNU-ESM_RCP85,RCP85,Transition
80,run1,743985.4499,BNU-ESM_RCP85,RCP85,Transition
80,run2,744277.7116,BNU-ESM_RCP85,RCP85,Transition
80,run3,743223.73,BNU-ESM_RCP85,RCP85,Transition
80,run4,744423.5868,BNU-ESM_RCP85,RCP85,Transition
80,run5,745347.6266,BNU-ESM_RCP85,RCP85,Transition
