Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,CCSM4_RCP45,RCP45,Resilience
run1,10,1.68919824,CCSM4_RCP45,RCP45,Resilience
run1,20,1.690168231,CCSM4_RCP45,RCP45,Resilience
run1,30,1.675656316,CCSM4_RCP45,RCP45,Resilience
run1,40,1.590540056,CCSM4_RCP45,RCP45,Resilience
run1,50,1.658530464,CCSM4_RCP45,RCP45,Resilience
run1,60,1.669847685,CCSM4_RCP45,RCP45,Resilience
run1,70,1.689892964,CCSM4_RCP45,RCP45,Resilience
run1,80,1.618618322,CCSM4_RCP45,RCP45,Resilience
run2,0,1.707320638,CCSM4_RCP45,RCP45,Resilience
run2,10,1.689275318,CCSM4_RCP45,RCP45,Resilience
run2,20,1.69002459,CCSM4_RCP45,RCP45,Resilience
run2,30,1.67570187,CCSM4_RCP45,RCP45,Resilience
run2,40,1.590144763,CCSM4_RCP45,RCP45,Resilience
run2,50,1.658689284,CCSM4_RCP45,RCP45,Resilience
run2,60,1.669875256,CCSM4_RCP45,RCP45,Resilience
run2,70,1.689911163,CCSM4_RCP45,RCP45,Resilience
run2,80,1.6181132,CCSM4_RCP45,RCP45,Resilience
run3,0,1.707320638,CCSM4_RCP45,RCP45,Resilience
run3,10,1.689499763,CCSM4_RCP45,RCP45,Resilience
run3,20,1.690175982,CCSM4_RCP45,RCP45,Resilience
run3,30,1.675734543,CCSM4_RCP45,RCP45,Resilience
run3,40,1.590263189,CCSM4_RCP45,RCP45,Resilience
run3,50,1.659566469,CCSM4_RCP45,RCP45,Resilience
run3,60,1.670217155,CCSM4_RCP45,RCP45,Resilience
run3,70,1.690098405,CCSM4_RCP45,RCP45,Resilience
run3,80,1.618975666,CCSM4_RCP45,RCP45,Resilience
run4,0,1.707320638,CCSM4_RCP45,RCP45,Resilience
run4,10,1.689313805,CCSM4_RCP45,RCP45,Resilience
run4,20,1.69069129,CCSM4_RCP45,RCP45,Resilience
run4,30,1.675820166,CCSM4_RCP45,RCP45,Resilience
run4,40,1.590239614,CCSM4_RCP45,RCP45,Resilience
run4,50,1.658668117,CCSM4_RCP45,RCP45,Resilience
run4,60,1.669371214,CCSM4_RCP45,RCP45,Resilience
run4,70,1.689705318,CCSM4_RCP45,RCP45,Resilience
run4,80,1.618048016,CCSM4_RCP45,RCP45,Resilience
run5,0,1.707320638,CCSM4_RCP45,RCP45,Resilience
run5,10,1.689339531,CCSM4_RCP45,RCP45,Resilience
run5,20,1.690179777,CCSM4_RCP45,RCP45,Resilience
run5,30,1.675567374,CCSM4_RCP45,RCP45,Resilience
run5,40,1.590333217,CCSM4_RCP45,RCP45,Resilience
run5,50,1.658556276,CCSM4_RCP45,RCP45,Resilience
run5,60,1.669037023,CCSM4_RCP45,RCP45,Resilience
run5,70,1.689044336,CCSM4_RCP45,RCP45,Resilience
run5,80,1.618146593,CCSM4_RCP45,RCP45,Resilience
