Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,CCSM4_RCP45,RCP45,Resistance
run1,10,1.695021786,CCSM4_RCP45,RCP45,Resistance
run1,20,1.701911306,CCSM4_RCP45,RCP45,Resistance
run1,30,1.647172275,CCSM4_RCP45,RCP45,Resistance
run1,40,1.588161963,CCSM4_RCP45,RCP45,Resistance
run1,50,1.649797145,CCSM4_RCP45,RCP45,Resistance
run1,60,1.619824376,CCSM4_RCP45,RCP45,Resistance
run1,70,1.591924628,CCSM4_RCP45,RCP45,Resistance
run1,80,1.566336219,CCSM4_RCP45,RCP45,Resistance
run2,0,1.707320638,CCSM4_RCP45,RCP45,Resistance
run2,10,1.694963187,CCSM4_RCP45,RCP45,Resistance
run2,20,1.702061639,CCSM4_RCP45,RCP45,Resistance
run2,30,1.64684757,CCSM4_RCP45,RCP45,Resistance
run2,40,1.587519739,CCSM4_RCP45,RCP45,Resistance
run2,50,1.6485576,CCSM4_RCP45,RCP45,Resistance
run2,60,1.619603939,CCSM4_RCP45,RCP45,Resistance
run2,70,1.593544459,CCSM4_RCP45,RCP45,Resistance
run2,80,1.569073339,CCSM4_RCP45,RCP45,Resistance
run3,0,1.707320638,CCSM4_RCP45,RCP45,Resistance
run3,10,1.694949594,CCSM4_RCP45,RCP45,Resistance
run3,20,1.701681382,CCSM4_RCP45,RCP45,Resistance
run3,30,1.647354206,CCSM4_RCP45,RCP45,Resistance
run3,40,1.587008918,CCSM4_RCP45,RCP45,Resistance
run3,50,1.647902178,CCSM4_RCP45,RCP45,Resistance
run3,60,1.618672911,CCSM4_RCP45,RCP45,Resistance
run3,70,1.591071448,CCSM4_RCP45,RCP45,Resistance
run3,80,1.565737522,CCSM4_RCP45,RCP45,Resistance
run4,0,1.707320638,CCSM4_RCP45,RCP45,Resistance
run4,10,1.694994978,CCSM4_RCP45,RCP45,Resistance
run4,20,1.701966224,CCSM4_RCP45,RCP45,Resistance
run4,30,1.647592782,CCSM4_RCP45,RCP45,Resistance
run4,40,1.587169623,CCSM4_RCP45,RCP45,Resistance
run4,50,1.647932493,CCSM4_RCP45,RCP45,Resistance
run4,60,1.619957939,CCSM4_RCP45,RCP45,Resistance
run4,70,1.592403061,CCSM4_RCP45,RCP45,Resistance
run4,80,1.56731142,CCSM4_RCP45,RCP45,Resistance
run5,0,1.707320638,CCSM4_RCP45,RCP45,Resistance
run5,10,1.695058178,CCSM4_RCP45,RCP45,Resistance
run5,20,1.701988845,CCSM4_RCP45,RCP45,Resistance
run5,30,1.647330335,CCSM4_RCP45,RCP45,Resistance
run5,40,1.588264946,CCSM4_RCP45,RCP45,Resistance
run5,50,1.649461085,CCSM4_RCP45,RCP45,Resistance
run5,60,1.621091978,CCSM4_RCP45,RCP45,Resistance
run5,70,1.593983053,CCSM4_RCP45,RCP45,Resistance
run5,80,1.568462875,CCSM4_RCP45,RCP45,Resistance
