Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,CCSM4_RCP45,RCP45,Transition
run1,10,1.680783992,CCSM4_RCP45,RCP45,Transition
run1,20,1.671461105,CCSM4_RCP45,RCP45,Transition
run1,30,1.647478497,CCSM4_RCP45,RCP45,Transition
run1,40,1.615504695,CCSM4_RCP45,RCP45,Transition
run1,50,1.63982326,CCSM4_RCP45,RCP45,Transition
run1,60,1.658003119,CCSM4_RCP45,RCP45,Transition
run1,70,1.705806132,CCSM4_RCP45,RCP45,Transition
run1,80,1.755491598,CCSM4_RCP45,RCP45,Transition
run2,0,1.707320638,CCSM4_RCP45,RCP45,Transition
run2,10,1.680384785,CCSM4_RCP45,RCP45,Transition
run2,20,1.670374458,CCSM4_RCP45,RCP45,Transition
run2,30,1.646635649,CCSM4_RCP45,RCP45,Transition
run2,40,1.615080317,CCSM4_RCP45,RCP45,Transition
run2,50,1.638731696,CCSM4_RCP45,RCP45,Transition
run2,60,1.654676862,CCSM4_RCP45,RCP45,Transition
run2,70,1.703440058,CCSM4_RCP45,RCP45,Transition
run2,80,1.752697923,CCSM4_RCP45,RCP45,Transition
run3,0,1.707320638,CCSM4_RCP45,RCP45,Transition
run3,10,1.680675359,CCSM4_RCP45,RCP45,Transition
run3,20,1.671285296,CCSM4_RCP45,RCP45,Transition
run3,30,1.646954099,CCSM4_RCP45,RCP45,Transition
run3,40,1.616162463,CCSM4_RCP45,RCP45,Transition
run3,50,1.640281436,CCSM4_RCP45,RCP45,Transition
run3,60,1.659108674,CCSM4_RCP45,RCP45,Transition
run3,70,1.706851801,CCSM4_RCP45,RCP45,Transition
run3,80,1.756138132,CCSM4_RCP45,RCP45,Transition
run4,0,1.707320638,CCSM4_RCP45,RCP45,Transition
run4,10,1.680272411,CCSM4_RCP45,RCP45,Transition
run4,20,1.671613812,CCSM4_RCP45,RCP45,Transition
run4,30,1.647393385,CCSM4_RCP45,RCP45,Transition
run4,40,1.616760403,CCSM4_RCP45,RCP45,Transition
run4,50,1.63987425,CCSM4_RCP45,RCP45,Transition
run4,60,1.657382668,CCSM4_RCP45,RCP45,Transition
run4,70,1.705551565,CCSM4_RCP45,RCP45,Transition
run4,80,1.754481957,CCSM4_RCP45,RCP45,Transition
run5,0,1.707320638,CCSM4_RCP45,RCP45,Transition
run5,10,1.680316854,CCSM4_RCP45,RCP45,Transition
run5,20,1.671578057,CCSM4_RCP45,RCP45,Transition
run5,30,1.647095873,CCSM4_RCP45,RCP45,Transition
run5,40,1.614974879,CCSM4_RCP45,RCP45,Transition
run5,50,1.640318908,CCSM4_RCP45,RCP45,Transition
run5,60,1.659285888,CCSM4_RCP45,RCP45,Transition
run5,70,1.706113495,CCSM4_RCP45,RCP45,Transition
run5,80,1.755313696,CCSM4_RCP45,RCP45,Transition
