Time,Run,H,RCP,Model,Prescription
0,run1,2.049675331,RCP85,CCSM4_RCP85,Resilience
0,run2,2.049675331,RCP85,CCSM4_RCP85,Resilience
0,run3,2.049675331,RCP85,CCSM4_RCP85,Resilience
0,run4,2.049675331,RCP85,CCSM4_RCP85,Resilience
0,run5,2.049675331,RCP85,CCSM4_RCP85,Resilience
10,run1,2.07520294,RCP85,CCSM4_RCP85,Resilience
10,run2,2.075193611,RCP85,CCSM4_RCP85,Resilience
10,run3,2.075209501,RCP85,CCSM4_RCP85,Resilience
10,run4,2.075202086,RCP85,CCSM4_RCP85,Resilience
10,run5,2.07519128,RCP85,CCSM4_RCP85,Resilience
20,run1,2.126367016,RCP85,CCSM4_RCP85,Resilience
20,run2,2.126225124,RCP85,CCSM4_RCP85,Resilience
20,run3,2.126342868,RCP85,CCSM4_RCP85,Resilience
20,run4,2.126296346,RCP85,CCSM4_RCP85,Resilience
20,run5,2.126272231,RCP85,CCSM4_RCP85,Resilience
30,run1,2.177171476,RCP85,CCSM4_RCP85,Resilience
30,run2,2.17698548,RCP85,CCSM4_RCP85,Resilience
30,run3,2.177461711,RCP85,CCSM4_RCP85,Resilience
30,run4,2.177125535,RCP85,CCSM4_RCP85,Resilience
30,run5,2.177023966,RCP85,CCSM4_RCP85,Resilience
40,run1,2.249427738,RCP85,CCSM4_RCP85,Resilience
40,run2,2.249097953,RCP85,CCSM4_RCP85,Resilience
40,run3,2.25001491,RCP85,CCSM4_RCP85,Resilience
40,run4,2.249394875,RCP85,CCSM4_RCP85,Resilience
40,run5,2.249340906,RCP85,CCSM4_RCP85,Resilience
50,run1,2.344341921,RCP85,CCSM4_RCP85,Resilience
50,run2,2.343401265,RCP85,CCSM4_RCP85,Resilience
50,run3,2.344367239,RCP85,CCSM4_RCP85,Resilience
50,run4,2.34428949,RCP85,CCSM4_RCP85,Resilience
50,run5,2.343635698,RCP85,CCSM4_RCP85,Resilience
60,run1,2.393536264,RCP85,CCSM4_RCP85,Resilience
60,run2,2.393167879,RCP85,CCSM4_RCP85,Resilience
60,run3,2.393969795,RCP85,CCSM4_RCP85,Resilience
60,run4,2.393809965,RCP85,CCSM4_RCP85,Resilience
60,run5,2.392898258,RCP85,CCSM4_RCP85,Resilience
70,run1,2.433572756,RCP85,CCSM4_RCP85,Resilience
70,run2,2.433648577,RCP85,CCSM4_RCP85,Resilience
70,run3,2.434438321,RCP85,CCSM4_RCP85,Resilience
70,run4,2.43422345,RCP85,CCSM4_RCP85,Resilience
70,run5,2.432701681,RCP85,CCSM4_RCP85,Resilience
80,run1,2.495390924,RCP85,CCSM4_RCP85,Resilience
80,run2,2.495959522,RCP85,CCSM4_RCP85,Resilience
80,run3,2.496932847,RCP85,CCSM4_RCP85,Resilience
80,run4,2.496208505,RCP85,CCSM4_RCP85,Resilience
80,run5,2.494486868,RCP85,CCSM4_RCP85,Resilience
