Time,Run,H,RCP,Model,Prescription
0,run1,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
0,run2,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
0,run3,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
0,run4,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
0,run5,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
10,run1,2.072464635,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
10,run2,2.072480025,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
10,run3,2.072525354,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
10,run4,2.072537493,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
10,run5,2.072495931,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
20,run1,2.115987695,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
20,run2,2.115946375,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
20,run3,2.115987132,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
20,run4,2.11591266,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
20,run5,2.115984831,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
30,run1,2.163906677,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
30,run2,2.163811903,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
30,run3,2.163922789,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
30,run4,2.163743038,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
30,run5,2.163942873,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
40,run1,2.234954506,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
40,run2,2.234717543,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
40,run3,2.235319488,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
40,run4,2.234979654,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
40,run5,2.235020493,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
50,run1,2.325425549,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
50,run2,2.325395262,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
50,run3,2.326042247,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
50,run4,2.325494009,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
50,run5,2.325050226,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
60,run1,2.370753219,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
60,run2,2.370890934,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
60,run3,2.371421423,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
60,run4,2.371234953,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
60,run5,2.370437879,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
70,run1,2.420299803,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
70,run2,2.42040106,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
70,run3,2.420656804,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
70,run4,2.42093296,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
70,run5,2.419826504,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
80,run1,2.488726932,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
80,run2,2.488855596,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
80,run3,2.489596469,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
80,run4,2.489510695,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
80,run5,2.488832273,RCP45,MIROC-ESM-CHEM_RCP45,Resilience
