Time,Run,H,RCP,Model,Prescription
0,run1,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
0,run2,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
0,run3,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
0,run4,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
0,run5,2.049675331,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
10,run1,2.069980296,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
10,run2,2.069992541,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
10,run3,2.069988659,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
10,run4,2.069949745,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
10,run5,2.070021411,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
20,run1,2.111336225,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
20,run2,2.1113586,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
20,run3,2.111321324,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
20,run4,2.111291003,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
20,run5,2.111362667,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
30,run1,2.160161482,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
30,run2,2.16023804,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
30,run3,2.160163196,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
30,run4,2.1601005,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
30,run5,2.160247641,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
40,run1,2.222137612,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
40,run2,2.222438529,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
40,run3,2.222156398,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
40,run4,2.222187972,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
40,run5,2.222316328,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
50,run1,2.299663107,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
50,run2,2.300051354,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
50,run3,2.299393766,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
50,run4,2.299559619,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
50,run5,2.299668478,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
60,run1,2.351305758,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
60,run2,2.35170942,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
60,run3,2.35094379,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
60,run4,2.351253411,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
60,run5,2.351430957,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
70,run1,2.415367299,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
70,run2,2.415725848,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
70,run3,2.415562104,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
70,run4,2.416677059,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
70,run5,2.415707401,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
80,run1,2.484288176,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
80,run2,2.486234281,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
80,run3,2.485890827,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
80,run4,2.487374693,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
80,run5,2.486230002,RCP45,MIROC-ESM-CHEM_RCP45,Resistance
