Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run1,10,1.667198161,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run1,20,1.658653047,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run1,30,1.624629568,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run1,40,1.59897153,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run1,50,1.614474309,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run1,60,1.63555214,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run1,70,1.687430279,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run1,80,1.735448644,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run2,0,1.707320638,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run2,10,1.666788603,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run2,20,1.659571518,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run2,30,1.624930449,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run2,40,1.599508932,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run2,50,1.616078302,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run2,60,1.636107334,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run2,70,1.684843316,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run2,80,1.73220476,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run3,0,1.707320638,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run3,10,1.667348259,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run3,20,1.659708512,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run3,30,1.624985632,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run3,40,1.599274511,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run3,50,1.614061191,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run3,60,1.635815968,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run3,70,1.685859129,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run3,80,1.734097327,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run4,0,1.707320638,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run4,10,1.667293642,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run4,20,1.659961326,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run4,30,1.625856705,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run4,40,1.600622384,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run4,50,1.615723831,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run4,60,1.635184909,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run4,70,1.683503174,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run4,80,1.730795707,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run5,0,1.707320638,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run5,10,1.667376899,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run5,20,1.660343657,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run5,30,1.625770004,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run5,40,1.600398381,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run5,50,1.615755616,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run5,60,1.634346736,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run5,70,1.685481544,MIROC-ESM-CHEM_RCP45,RCP45,Transition
run5,80,1.732640754,MIROC-ESM-CHEM_RCP45,RCP45,Transition
