Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run1,10,1.691889888,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run1,20,1.671101513,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run1,30,1.626296752,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run1,40,1.537433525,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run1,50,1.599279546,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run1,60,1.558533272,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run1,70,1.536350429,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run1,80,1.399062837,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run2,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run2,10,1.691998135,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run2,20,1.671529505,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run2,30,1.626806326,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run2,40,1.537686419,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run2,50,1.598327048,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run2,60,1.556974439,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run2,70,1.534821504,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run2,80,1.398395475,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run3,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run3,10,1.691907197,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run3,20,1.671219044,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run3,30,1.626698712,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run3,40,1.537761143,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run3,50,1.59956337,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run3,60,1.558236923,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run3,70,1.535660746,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run3,80,1.398485865,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run4,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run4,10,1.691940191,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run4,20,1.67104948,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run4,30,1.626178713,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run4,40,1.537687383,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run4,50,1.598932613,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run4,60,1.559132568,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run4,70,1.537082515,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run4,80,1.400063637,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run5,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run5,10,1.691937076,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run5,20,1.670886121,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run5,30,1.626227525,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run5,40,1.537474773,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run5,50,1.599772672,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run5,60,1.55872135,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run5,70,1.536472846,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
run5,80,1.398910928,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
