Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run1,10,1.697716143,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run1,20,1.682480577,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run1,30,1.598829898,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run1,40,1.539483612,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run1,50,1.591395808,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run1,60,1.507932622,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run1,70,1.437176343,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run1,80,1.360723256,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run2,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run2,10,1.697784585,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run2,20,1.682480036,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run2,30,1.598724642,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run2,40,1.539812575,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run2,50,1.592034128,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run2,60,1.508802414,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run2,70,1.437282276,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run2,80,1.362467919,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run3,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run3,10,1.697852542,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run3,20,1.68255416,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run3,30,1.599358714,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run3,40,1.539713186,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run3,50,1.591777028,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run3,60,1.508393782,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run3,70,1.436295802,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run3,80,1.361196541,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run4,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run4,10,1.698021534,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run4,20,1.682853138,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run4,30,1.598589607,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run4,40,1.539717524,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run4,50,1.592184876,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run4,60,1.507453875,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run4,70,1.436325707,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run4,80,1.35998969,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run5,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run5,10,1.697858559,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run5,20,1.682590903,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run5,30,1.598555284,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run5,40,1.539530107,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run5,50,1.59207708,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run5,60,1.509177576,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run5,70,1.435747293,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
run5,80,1.359505133,MIROC-ESM-CHEM_RCP85,RCP85,Resistance
