Time,Run,H,RCP,Model,Prescription
0,run1,2.049675331,RCP45,MRI-CGCM3_RCP45,Resilience
0,run2,2.049675331,RCP45,MRI-CGCM3_RCP45,Resilience
0,run3,2.049675331,RCP45,MRI-CGCM3_RCP45,Resilience
0,run4,2.049675331,RCP45,MRI-CGCM3_RCP45,Resilience
0,run5,2.049675331,RCP45,MRI-CGCM3_RCP45,Resilience
10,run1,2.081067515,RCP45,MRI-CGCM3_RCP45,Resilience
10,run2,2.081130544,RCP45,MRI-CGCM3_RCP45,Resilience
10,run3,2.081096813,RCP45,MRI-CGCM3_RCP45,Resilience
10,run4,2.081089769,RCP45,MRI-CGCM3_RCP45,Resilience
10,run5,2.081101378,RCP45,MRI-CGCM3_RCP45,Resilience
20,run1,2.138336832,RCP45,MRI-CGCM3_RCP45,Resilience
20,run2,2.138344532,RCP45,MRI-CGCM3_RCP45,Resilience
20,run3,2.138303842,RCP45,MRI-CGCM3_RCP45,Resilience
20,run4,2.138232172,RCP45,MRI-CGCM3_RCP45,Resilience
20,run5,2.138159848,RCP45,MRI-CGCM3_RCP45,Resilience
30,run1,2.191547416,RCP45,MRI-CGCM3_RCP45,Resilience
30,run2,2.191397139,RCP45,MRI-CGCM3_RCP45,Resilience
30,run3,2.191370157,RCP45,MRI-CGCM3_RCP45,Resilience
30,run4,2.191209418,RCP45,MRI-CGCM3_RCP45,Resilience
30,run5,2.191221044,RCP45,MRI-CGCM3_RCP45,Resilience
40,run1,2.25571399,RCP45,MRI-CGCM3_RCP45,Resilience
40,run2,2.255775865,RCP45,MRI-CGCM3_RCP45,Resilience
40,run3,2.255808256,RCP45,MRI-CGCM3_RCP45,Resilience
40,run4,2.255369875,RCP45,MRI-CGCM3_RCP45,Resilience
40,run5,2.25595681,RCP45,MRI-CGCM3_RCP45,Resilience
50,run1,2.34033267,RCP45,MRI-CGCM3_RCP45,Resilience
50,run2,2.341080533,RCP45,MRI-CGCM3_RCP45,Resilience
50,run3,2.34082847,RCP45,MRI-CGCM3_RCP45,Resilience
50,run4,2.340382053,RCP45,MRI-CGCM3_RCP45,Resilience
50,run5,2.340158818,RCP45,MRI-CGCM3_RCP45,Resilience
60,run1,2.391789017,RCP45,MRI-CGCM3_RCP45,Resilience
60,run2,2.392271475,RCP45,MRI-CGCM3_RCP45,Resilience
60,run3,2.392347448,RCP45,MRI-CGCM3_RCP45,Resilience
60,run4,2.391744436,RCP45,MRI-CGCM3_RCP45,Resilience
60,run5,2.39157606,RCP45,MRI-CGCM3_RCP45,Resilience
70,run1,2.44822241,RCP45,MRI-CGCM3_RCP45,Resilience
70,run2,2.448725326,RCP45,MRI-CGCM3_RCP45,Resilience
70,run3,2.449035311,RCP45,MRI-CGCM3_RCP45,Resilience
70,run4,2.448111612,RCP45,MRI-CGCM3_RCP45,Resilience
70,run5,2.447946237,RCP45,MRI-CGCM3_RCP45,Resilience
80,run1,2.523762303,RCP45,MRI-CGCM3_RCP45,Resilience
80,run2,2.523985874,RCP45,MRI-CGCM3_RCP45,Resilience
80,run3,2.524641149,RCP45,MRI-CGCM3_RCP45,Resilience
80,run4,2.523569769,RCP45,MRI-CGCM3_RCP45,Resilience
80,run5,2.524103301,RCP45,MRI-CGCM3_RCP45,Resilience
