Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resilience
run1,10,1.69307784,MRI-CGCM3_RCP85,RCP85,Resilience
run1,20,1.670207177,MRI-CGCM3_RCP85,RCP85,Resilience
run1,30,1.665326717,MRI-CGCM3_RCP85,RCP85,Resilience
run1,40,1.576762276,MRI-CGCM3_RCP85,RCP85,Resilience
run1,50,1.6434283,MRI-CGCM3_RCP85,RCP85,Resilience
run1,60,1.653649382,MRI-CGCM3_RCP85,RCP85,Resilience
run1,70,1.690423513,MRI-CGCM3_RCP85,RCP85,Resilience
run1,80,1.62722956,MRI-CGCM3_RCP85,RCP85,Resilience
run2,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resilience
run2,10,1.6930094,MRI-CGCM3_RCP85,RCP85,Resilience
run2,20,1.669645982,MRI-CGCM3_RCP85,RCP85,Resilience
run2,30,1.665073666,MRI-CGCM3_RCP85,RCP85,Resilience
run2,40,1.576419194,MRI-CGCM3_RCP85,RCP85,Resilience
run2,50,1.642842071,MRI-CGCM3_RCP85,RCP85,Resilience
run2,60,1.653631911,MRI-CGCM3_RCP85,RCP85,Resilience
run2,70,1.690459615,MRI-CGCM3_RCP85,RCP85,Resilience
run2,80,1.626811065,MRI-CGCM3_RCP85,RCP85,Resilience
run3,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resilience
run3,10,1.693020034,MRI-CGCM3_RCP85,RCP85,Resilience
run3,20,1.669401438,MRI-CGCM3_RCP85,RCP85,Resilience
run3,30,1.664692801,MRI-CGCM3_RCP85,RCP85,Resilience
run3,40,1.575869876,MRI-CGCM3_RCP85,RCP85,Resilience
run3,50,1.642809213,MRI-CGCM3_RCP85,RCP85,Resilience
run3,60,1.652734606,MRI-CGCM3_RCP85,RCP85,Resilience
run3,70,1.689278123,MRI-CGCM3_RCP85,RCP85,Resilience
run3,80,1.625525756,MRI-CGCM3_RCP85,RCP85,Resilience
run4,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resilience
run4,10,1.693056419,MRI-CGCM3_RCP85,RCP85,Resilience
run4,20,1.669775891,MRI-CGCM3_RCP85,RCP85,Resilience
run4,30,1.665587134,MRI-CGCM3_RCP85,RCP85,Resilience
run4,40,1.576331816,MRI-CGCM3_RCP85,RCP85,Resilience
run4,50,1.643029319,MRI-CGCM3_RCP85,RCP85,Resilience
run4,60,1.654404017,MRI-CGCM3_RCP85,RCP85,Resilience
run4,70,1.690617351,MRI-CGCM3_RCP85,RCP85,Resilience
run4,80,1.627019431,MRI-CGCM3_RCP85,RCP85,Resilience
run5,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resilience
run5,10,1.693010292,MRI-CGCM3_RCP85,RCP85,Resilience
run5,20,1.669618875,MRI-CGCM3_RCP85,RCP85,Resilience
run5,30,1.665011044,MRI-CGCM3_RCP85,RCP85,Resilience
run5,40,1.575911879,MRI-CGCM3_RCP85,RCP85,Resilience
run5,50,1.642298684,MRI-CGCM3_RCP85,RCP85,Resilience
run5,60,1.653747444,MRI-CGCM3_RCP85,RCP85,Resilience
run5,70,1.690349611,MRI-CGCM3_RCP85,RCP85,Resilience
run5,80,1.627029811,MRI-CGCM3_RCP85,RCP85,Resilience
