Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resistance
run1,10,1.698728665,MRI-CGCM3_RCP85,RCP85,Resistance
run1,20,1.681267406,MRI-CGCM3_RCP85,RCP85,Resistance
run1,30,1.637442552,MRI-CGCM3_RCP85,RCP85,Resistance
run1,40,1.576336945,MRI-CGCM3_RCP85,RCP85,Resistance
run1,50,1.636730628,MRI-CGCM3_RCP85,RCP85,Resistance
run1,60,1.605008668,MRI-CGCM3_RCP85,RCP85,Resistance
run1,70,1.588741245,MRI-CGCM3_RCP85,RCP85,Resistance
run1,80,1.569786594,MRI-CGCM3_RCP85,RCP85,Resistance
run2,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resistance
run2,10,1.698875171,MRI-CGCM3_RCP85,RCP85,Resistance
run2,20,1.681574723,MRI-CGCM3_RCP85,RCP85,Resistance
run2,30,1.636793902,MRI-CGCM3_RCP85,RCP85,Resistance
run2,40,1.575786046,MRI-CGCM3_RCP85,RCP85,Resistance
run2,50,1.636355296,MRI-CGCM3_RCP85,RCP85,Resistance
run2,60,1.604257148,MRI-CGCM3_RCP85,RCP85,Resistance
run2,70,1.587937424,MRI-CGCM3_RCP85,RCP85,Resistance
run2,80,1.56934975,MRI-CGCM3_RCP85,RCP85,Resistance
run3,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resistance
run3,10,1.699038494,MRI-CGCM3_RCP85,RCP85,Resistance
run3,20,1.681694579,MRI-CGCM3_RCP85,RCP85,Resistance
run3,30,1.637616114,MRI-CGCM3_RCP85,RCP85,Resistance
run3,40,1.575532033,MRI-CGCM3_RCP85,RCP85,Resistance
run3,50,1.636258527,MRI-CGCM3_RCP85,RCP85,Resistance
run3,60,1.606044014,MRI-CGCM3_RCP85,RCP85,Resistance
run3,70,1.588332054,MRI-CGCM3_RCP85,RCP85,Resistance
run3,80,1.567019439,MRI-CGCM3_RCP85,RCP85,Resistance
run4,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resistance
run4,10,1.698706388,MRI-CGCM3_RCP85,RCP85,Resistance
run4,20,1.681251336,MRI-CGCM3_RCP85,RCP85,Resistance
run4,30,1.637085382,MRI-CGCM3_RCP85,RCP85,Resistance
run4,40,1.574480903,MRI-CGCM3_RCP85,RCP85,Resistance
run4,50,1.634860678,MRI-CGCM3_RCP85,RCP85,Resistance
run4,60,1.604280023,MRI-CGCM3_RCP85,RCP85,Resistance
run4,70,1.587710839,MRI-CGCM3_RCP85,RCP85,Resistance
run4,80,1.565061639,MRI-CGCM3_RCP85,RCP85,Resistance
run5,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Resistance
run5,10,1.698845831,MRI-CGCM3_RCP85,RCP85,Resistance
run5,20,1.681333064,MRI-CGCM3_RCP85,RCP85,Resistance
run5,30,1.636086506,MRI-CGCM3_RCP85,RCP85,Resistance
run5,40,1.575237543,MRI-CGCM3_RCP85,RCP85,Resistance
run5,50,1.635600432,MRI-CGCM3_RCP85,RCP85,Resistance
run5,60,1.604533696,MRI-CGCM3_RCP85,RCP85,Resistance
run5,70,1.587952444,MRI-CGCM3_RCP85,RCP85,Resistance
run5,80,1.567674674,MRI-CGCM3_RCP85,RCP85,Resistance
