Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Transition
run1,10,1.684690354,MRI-CGCM3_RCP85,RCP85,Transition
run1,20,1.661387709,MRI-CGCM3_RCP85,RCP85,Transition
run1,30,1.647888808,MRI-CGCM3_RCP85,RCP85,Transition
run1,40,1.613965954,MRI-CGCM3_RCP85,RCP85,Transition
run1,50,1.63151432,MRI-CGCM3_RCP85,RCP85,Transition
run1,60,1.645581187,MRI-CGCM3_RCP85,RCP85,Transition
run1,70,1.701915946,MRI-CGCM3_RCP85,RCP85,Transition
run1,80,1.757576387,MRI-CGCM3_RCP85,RCP85,Transition
run2,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Transition
run2,10,1.684228669,MRI-CGCM3_RCP85,RCP85,Transition
run2,20,1.661431774,MRI-CGCM3_RCP85,RCP85,Transition
run2,30,1.648148508,MRI-CGCM3_RCP85,RCP85,Transition
run2,40,1.615359,MRI-CGCM3_RCP85,RCP85,Transition
run2,50,1.632207112,MRI-CGCM3_RCP85,RCP85,Transition
run2,60,1.645515183,MRI-CGCM3_RCP85,RCP85,Transition
run2,70,1.703483791,MRI-CGCM3_RCP85,RCP85,Transition
run2,80,1.758467733,MRI-CGCM3_RCP85,RCP85,Transition
run3,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Transition
run3,10,1.684153483,MRI-CGCM3_RCP85,RCP85,Transition
run3,20,1.661077095,MRI-CGCM3_RCP85,RCP85,Transition
run3,30,1.647560961,MRI-CGCM3_RCP85,RCP85,Transition
run3,40,1.615058416,MRI-CGCM3_RCP85,RCP85,Transition
run3,50,1.632155335,MRI-CGCM3_RCP85,RCP85,Transition
run3,60,1.643376292,MRI-CGCM3_RCP85,RCP85,Transition
run3,70,1.702131289,MRI-CGCM3_RCP85,RCP85,Transition
run3,80,1.756961523,MRI-CGCM3_RCP85,RCP85,Transition
run4,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Transition
run4,10,1.684335739,MRI-CGCM3_RCP85,RCP85,Transition
run4,20,1.660668888,MRI-CGCM3_RCP85,RCP85,Transition
run4,30,1.647965281,MRI-CGCM3_RCP85,RCP85,Transition
run4,40,1.613863452,MRI-CGCM3_RCP85,RCP85,Transition
run4,50,1.631828479,MRI-CGCM3_RCP85,RCP85,Transition
run4,60,1.646329081,MRI-CGCM3_RCP85,RCP85,Transition
run4,70,1.704964061,MRI-CGCM3_RCP85,RCP85,Transition
run4,80,1.760509883,MRI-CGCM3_RCP85,RCP85,Transition
run5,0,1.707320638,MRI-CGCM3_RCP85,RCP85,Transition
run5,10,1.684874717,MRI-CGCM3_RCP85,RCP85,Transition
run5,20,1.661438307,MRI-CGCM3_RCP85,RCP85,Transition
run5,30,1.648545943,MRI-CGCM3_RCP85,RCP85,Transition
run5,40,1.615333992,MRI-CGCM3_RCP85,RCP85,Transition
run5,50,1.632088114,MRI-CGCM3_RCP85,RCP85,Transition
run5,60,1.643930505,MRI-CGCM3_RCP85,RCP85,Transition
run5,70,1.702805412,MRI-CGCM3_RCP85,RCP85,Transition
run5,80,1.758421481,MRI-CGCM3_RCP85,RCP85,Transition
